id,total_pop,white_population,african_american_pop,american_indian_alaska_native_pop,asian_pop,hawaiin_other_pacific_pop,other_race,two_or_more_races,County,State,Location
0500000US36001,309612.0,231896.0,39413.0,577.0,21130.0,0.0,4337.0,12259.0,Albany, New York,"(42.678066, -73.814233)"
0500000US36003,46894.0,44729.0,516.0,204.0,408.0,15.0,364.0,658.0,Allegany, New York,"(42.226801, -78.020567)"
0500000US36005,1471160.0,328383.0,517433.0,12908.0,57247.0,1570.0,505698.0,47921.0,Bronx, New York,"(40.85589, -73.868294)"
0500000US36007,193639.0,165668.0,11181.0,397.0,8895.0,90.0,1284.0,6124.0,Broome, New York,"(42.122015, -75.933191)"
0500000US36009,77348.0,71195.0,1099.0,2370.0,754.0,0.0,245.0,1685.0,Cattaraugus, New York,"(42.224267, -78.606673)"
0500000US36011,77603.0,70967.0,2879.0,7.0,410.0,0.0,561.0,2779.0,Cayuga, New York,"(42.940095, -76.560755)"
0500000US36013,129046.0,118064.0,3079.0,127.0,800.0,0.0,3769.0,3207.0,Chautauqua, New York,"(42.246904, -79.315313)"
0500000US36015,85557.0,74963.0,6317.0,55.0,1677.0,0.0,698.0,1847.0,Chemung, New York,"(42.116644, -76.812331)"
0500000US36019,80980.0,73166.0,3749.0,204.0,1167.0,128.0,1415.0,1151.0,Clinton, New York,"(44.731944, -73.548883)"
0500000US36021,60604.0,54152.0,3053.0,40.0,1049.0,0.0,764.0,1546.0,Columbia, New York,"(42.276913, -73.682168)"
0500000US36025,45001.0,42584.0,1063.0,62.0,447.0,0.0,352.0,493.0,Delaware, New York,"(42.242972, -74.997944)"
0500000US36027,295568.0,232355.0,30371.0,946.0,11881.0,48.0,10066.0,9901.0,Dutchess, New York,"(41.686216, -73.840468)"
0500000US36029,925528.0,716718.0,123182.0,4812.0,33896.0,234.0,20568.0,26118.0,Erie, New York,"(42.888143, -78.795544)"
0500000US36031,37956.0,34777.0,1415.0,45.0,267.0,12.0,666.0,774.0,Essex, New York,"(44.166026, -73.685145)"
0500000US36033,51116.0,41859.0,3061.0,2630.0,308.0,336.0,1057.0,1865.0,Franklin, New York,"(44.705699, -74.340621)"
0500000US36035,53877.0,50698.0,1645.0,0.0,428.0,0.0,417.0,689.0,Fulton, New York,"(43.06014, -74.331296)"
0500000US36037,57956.0,52946.0,2107.0,118.0,403.0,0.0,1174.0,1208.0,Genesee, New York,"(43.000121, -78.172679)"
0500000US36039,47470.0,42237.0,3328.0,156.0,573.0,0.0,784.0,392.0,Greene, New York,"(42.298326, -73.973376)"
0500000US36043,62240.0,59830.0,624.0,146.0,582.0,38.0,342.0,678.0,Herkimer, New York,"(43.070026, -74.994246)"
0500000US36045,114187.0,98132.0,7565.0,664.0,1591.0,293.0,1453.0,4489.0,Jefferson, New York,"(44.019295, -75.898971)"
0500000US36047,2648771.0,1145345.0,850150.0,7169.0,324552.0,711.0,241515.0,79329.0,Kings, New York,"(40.65642, -73.950691)"
0500000US36051,63799.0,58682.0,2474.0,20.0,316.0,0.0,815.0,1492.0,Livingston, New York,"(42.763754, -77.765392)"
0500000US36053,70965.0,66940.0,988.0,596.0,785.0,0.0,587.0,1069.0,Madison, New York,"(42.986917, -75.720031)"
0500000US36055,747642.0,563542.0,114666.0,3537.0,29616.0,69.0,12669.0,23543.0,Monroe, New York,"(43.161748, -77.620143)"
0500000US36057,49258.0,42720.0,977.0,23.0,498.0,0.0,3372.0,1668.0,Montgomery, New York,"(42.933637, -74.341972)"
0500000US36059,1369514.0,916648.0,161012.0,3453.0,134515.0,100.0,109696.0,44090.0,Nassau, New York,"(40.715749, -73.601185)"
0500000US36061,1664727.0,925117.0,247139.0,4847.0,207799.0,934.0,200412.0,78479.0,New York, New York,"(40.726966, -74.005966)"
0500000US36063,211328.0,185351.0,16271.0,2697.0,1850.0,0.0,1466.0,3693.0,Niagara, New York,"(43.134634, -78.856419)"
0500000US36065,231332.0,197001.0,14495.0,566.0,10563.0,0.0,4193.0,4514.0,Oneida, New York,"(43.149482, -75.361773)"
