id,total_pop,white_population,african_american_pop,american_indian_alaska_native_pop,asian_pop,hawaiin_other_pacific_pop,other_race,two_or_more_races,County,State,Location
0500000US36001,308846.0,230831.0,38386.0,788.0,21011.0,0.0,5538.0,12292.0,Albany, New York,"(42.678066, -73.814233)"
0500000US36003,47077.0,44869.0,1049.0,162.0,344.0,0.0,140.0,513.0,Allegany, New York,"(42.226801, -78.020567)"
0500000US36005,1455720.0,312877.0,495031.0,8777.0,51958.0,372.0,528863.0,57842.0,Bronx, New York,"(40.85589, -73.868294)"
0500000US36007,195334.0,166572.0,12650.0,13.0,7006.0,21.0,1866.0,7206.0,Broome, New York,"(42.122015, -75.933191)"
0500000US36009,77677.0,71286.0,1148.0,2615.0,509.0,0.0,376.0,1743.0,Cattaraugus, New York,"(42.224267, -78.606673)"
0500000US36011,77861.0,71746.0,3240.0,139.0,400.0,0.0,554.0,1782.0,Cayuga, New York,"(42.940095, -76.560755)"
0500000US36013,129504.0,120008.0,3784.0,326.0,760.0,64.0,2035.0,2527.0,Chautauqua, New York,"(42.246904, -79.315313)"
0500000US36015,86322.0,75851.0,4798.0,171.0,1588.0,22.0,770.0,3122.0,Chemung, New York,"(42.116644, -76.812331)"
0500000US36017,48579.0,46605.0,536.0,170.0,166.0,31.0,199.0,872.0,Chenango, New York,"(42.481798, -75.570013)"
0500000US36019,81073.0,73092.0,3875.0,114.0,990.0,0.0,1811.0,1191.0,Clinton, New York,"(44.731944, -73.548883)"
0500000US36021,60989.0,54412.0,2285.0,0.0,1214.0,0.0,1104.0,1974.0,Columbia, New York,"(42.276913, -73.682168)"
0500000US36023,48070.0,45675.0,542.0,34.0,577.0,33.0,120.0,1089.0,Cortland, New York,"(42.597101, -76.143291)"
0500000US36025,45523.0,42802.0,683.0,0.0,413.0,0.0,831.0,794.0,Delaware, New York,"(42.242972, -74.997944)"
0500000US36027,294473.0,232515.0,31588.0,989.0,10743.0,422.0,9189.0,9027.0,Dutchess, New York,"(41.686216, -73.840468)"
0500000US36029,921046.0,718970.0,122691.0,4730.0,34132.0,405.0,18740.0,21378.0,Erie, New York,"(42.888143, -78.795544)"
0500000US36031,38102.0,34180.0,1376.0,79.0,142.0,0.0,429.0,1896.0,Essex, New York,"(44.166026, -73.685145)"
0500000US36033,50409.0,41826.0,2795.0,2345.0,901.0,158.0,1064.0,1320.0,Franklin, New York,"(44.705699, -74.340621)"
0500000US36035,53828.0,50424.0,1340.0,295.0,231.0,0.0,865.0,673.0,Fulton, New York,"(43.06014, -74.331296)"
0500000US36037,58482.0,53482.0,1154.0,616.0,437.0,0.0,1139.0,1654.0,Genesee, New York,"(43.000121, -78.172679)"
0500000US36039,47508.0,42647.0,2898.0,398.0,428.0,43.0,298.0,796.0,Greene, New York,"(42.298326, -73.973376)"
0500000US36043,62613.0,60055.0,1227.0,45.0,182.0,35.0,233.0,836.0,Herkimer, New York,"(43.070026, -74.994246)"
0500000US36045,114006.0,98583.0,5871.0,1667.0,1998.0,41.0,1425.0,4421.0,Jefferson, New York,"(44.019295, -75.898971)"
0500000US36047,2629150.0,1124155.0,861749.0,8714.0,315850.0,1402.0,237591.0,79689.0,Kings, New York,"(40.65642, -73.950691)"
0500000US36051,64257.0,59522.0,1985.0,352.0,699.0,76.0,800.0,823.0,Livingston, New York,"(42.763754, -77.765392)"
0500000US36053,71329.0,67495.0,1272.0,203.0,726.0,152.0,200.0,1281.0,Madison, New York,"(42.986917, -75.720031)"
0500000US36055,747727.0,570709.0,113806.0,2763.0,26420.0,309.0,12100.0,21620.0,Monroe, New York,"(43.161748, -77.620143)"
0500000US36057,49276.0,43718.0,830.0,48.0,580.0,0.0,2634.0,1466.0,Montgomery, New York,"(42.933637, -74.341972)"
0500000US36059,1361500.0,926594.0,158561.0,3420.0,127934.0,285.0,102363.0,42343.0,Nassau, New York,"(40.715749, -73.601185)"
0500000US36061,1643734.0,931953.0,246095.0,4555.0,204434.0,1205.0,179384.0,76108.0,New York, New York,"(40.726966, -74.005966)"
0500000US36063,211758.0,185171.0,13450.0,2246.0,2082.0,141.0,1822.0,6846.0,Niagara, New York,"(43.134634, -78.856419)"
0500000US36065,231190.0,197816.0,13313.0,400.0,9824.0,53.0,2474.0,7310.0,Oneida, New York,"(43.149482, -75.361773)"
0500000US36067,466194.0,370920.0,52781.0,1769.0,17413.0,81.0,6250.0,16980.0,Onondaga, New York,"(43.065629, -76.168033)"
0500000US36069,109828.0,101231.0,3180.0,584.0,1345.0,114.0,1649.0,1725.0,Ontario, New York,"(42.894571, -77.252045)"
0500000US36071,379210.0,278706.0,38853.0,1877.0,10686.0,149.0,32984.0,15955.0,Orange, New York,"(41.422459, -74.241929)"
0500000US36075,118987.0,113860.0,1795.0,184.0,730.0,75.0,167.0,2176.0,Oswego, New York,"(43.39123, -76.31133)"
0500000US36077,60097.0,56564.0,1141.0,49.0,927.0,32.0,165.0,1219.0,Otsego, New York,"(42.564852, -75.060334)"
0500000US36079,98900.0,85102.0,1490.0,859.0,2214.0,56.0,7046.0,2133.0,Putnam, New York,"(41.41131, -73.717443)"
0500000US36081,2333054.0,905860.0,421307.0,9509.0,592922.0,1240.0,318657.0,83559.0,Queens, New York,"(40.749338, -73.789673)"
0500000US36083,160070.0,137956.0,9755.0,799.0,4019.0,0.0,1866.0,5675.0,Rensselaer, New York,"(42.70098, -73.628669)"
0500000US36085,476015.0,352530.0,48920.0,251.0,40747.0,721.0,22464.0,10382.0,Richmond, New York,"(40.566763, -74.148102)"
0500000US36087,326780.0,225848.0,40350.0,592.0,19686.0,49.0,33989.0,6266.0,Rockland, New York,"(41.127287, -74.017033)"
0500000US36089,110038.0,102840.0,2925.0,437.0,1489.0,11.0,472.0,1864.0,St. Lawrence, New York,"(44.689468, -75.242045)"
0500000US36091,227053.0,211505.0,2719.0,484.0,6797.0,91.0,907.0,4550.0,Saratoga, New York,"(43.00894, -73.786779)"
0500000US36093,154553.0,119476.0,14509.0,258.0,6739.0,219.0,7110.0,6242.0,Schenectady, New York,"(42.809233, -73.946838)"
0500000US36095,31317.0,29795.0,769.0,117.0,192.0,0.0,118.0,326.0,Schoharie, New York,"(42.643426, -74.434606)"
0500000US36099,34777.0,31543.0,1762.0,157.0,794.0,0.0,274.0,247.0,Seneca, New York,"(42.833627, -76.82753)"
0500000US36101,96940.0,91500.0,1835.0,120.0,1298.0,0.0,524.0,1663.0,Steuben, New York,"(42.270053, -77.324618)"
0500000US36103,1492583.0,1195796.0,111177.0,3361.0,58726.0,833.0,93130.0,29560.0,Suffolk, New York,"(40.820237, -73.119032)"
0500000US36105,74801.0,60496.0,5662.0,52.0,1227.0,0.0,4373.0,2991.0,Sullivan, New York,"(41.705166, -74.711705)"
0500000US36107,48760.0,47063.0,337.0,0.0,562.0,0.0,0.0,798.0,Tioga, New York,"(42.120252, -76.29595)"
0500000US36109,104871.0,83423.0,4698.0,268.0,10625.0,0.0,1656.0,4201.0,Tompkins, New York,"(42.461024, -76.478784)"
0500000US36111,179225.0,152042.0,10859.0,151.0,3969.0,21.0,5275.0,6908.0,Ulster, New York,"(41.848374, -74.099412)"
0500000US36113,64567.0,62127.0,690.0,85.0,603.0,82.0,146.0,834.0,Warren, New York,"(43.403024, -73.716044)"
0500000US36115,61800.0,57848.0,1969.0,598.0,268.0,0.0,578.0,539.0,Washington, New York,"(43.289513, -73.454761)"
0500000US36117,90798.0,84497.0,2458.0,59.0,775.0,0.0,1092.0,1917.0,Wayne, New York,"(43.144336, -77.117995)"
0500000US36119,974542.0,628687.0,144510.0,2745.0,57962.0,192.0,107885.0,32561.0,Westchester, New York,"(41.039278, -73.805386)"
0500000US36121,40791.0,36901.0,1482.0,88.0,126.0,0.0,911.0,1283.0,Wyoming, New York,"(42.723641, -78.204473)"
