id,total_pop,white_population,african_american_pop,american_indian_alaska_native_pop,asian_pop,hawaiin_other_pacific_pop,other_race,two_or_more_races,County,State,Location
0500000US36001,307117.0,228964.0,39649.0,282.0,21496.0,834.0,2771.0,13121.0,Albany, New York,"(42.678066, -73.814233)"
0500000US36003,46430.0,44305.0,759.0,172.0,444.0,0.0,165.0,585.0,Allegany, New York,"(42.226801, -78.020567)"
0500000US36005,1432132.0,321890.0,509310.0,8717.0,54467.0,1945.0,473965.0,61838.0,Bronx, New York,"(40.85589, -73.868294)"
0500000US36007,191659.0,163081.0,10809.0,591.0,9341.0,99.0,3346.0,4392.0,Broome, New York,"(42.122015, -75.933191)"
0500000US36009,76840.0,70431.0,1018.0,2539.0,481.0,0.0,589.0,1782.0,Cattaraugus, New York,"(42.224267, -78.606673)"
0500000US36011,77145.0,71045.0,3506.0,132.0,580.0,0.0,529.0,1353.0,Cayuga, New York,"(42.940095, -76.560755)"
0500000US36013,127939.0,116291.0,3434.0,394.0,716.0,157.0,4427.0,2520.0,Chautauqua, New York,"(42.246904, -79.315313)"
0500000US36015,84254.0,74324.0,4999.0,15.0,1174.0,0.0,501.0,3241.0,Chemung, New York,"(42.116644, -76.812331)"
0500000US36017,47536.0,45375.0,441.0,82.0,265.0,12.0,380.0,981.0,Chenango, New York,"(42.481798, -75.570013)"
0500000US36019,80695.0,73115.0,3605.0,54.0,962.0,0.0,2439.0,520.0,Clinton, New York,"(44.731944, -73.548883)"
0500000US36021,59916.0,53442.0,2162.0,185.0,1396.0,0.0,1122.0,1609.0,Columbia, New York,"(42.276913, -73.682168)"
0500000US36023,47823.0,45179.0,478.0,182.0,452.0,0.0,324.0,1208.0,Cortland, New York,"(42.597101, -76.143291)"
0500000US36025,44527.0,42231.0,750.0,67.0,379.0,11.0,142.0,947.0,Delaware, New York,"(42.242972, -74.997944)"
0500000US36027,293718.0,229184.0,32319.0,1017.0,9867.0,23.0,10400.0,10908.0,Dutchess, New York,"(41.686216, -73.840468)"
0500000US36029,919719.0,711887.0,121796.0,4117.0,34361.0,22.0,22467.0,25069.0,Erie, New York,"(42.888143, -78.795544)"
0500000US36031,37300.0,34452.0,1137.0,212.0,44.0,33.0,277.0,1145.0,Essex, New York,"(44.166026, -73.685145)"
0500000US36033,50293.0,41409.0,3025.0,2966.0,805.0,0.0,1286.0,802.0,Franklin, New York,"(44.705699, -74.340621)"
0500000US36035,53591.0,50849.0,967.0,500.0,448.0,0.0,308.0,519.0,Fulton, New York,"(43.06014, -74.331296)"
0500000US36037,57511.0,52916.0,1664.0,90.0,409.0,0.0,716.0,1716.0,Genesee, New York,"(43.000121, -78.172679)"
0500000US36039,47491.0,42272.0,3657.0,161.0,170.0,0.0,421.0,810.0,Greene, New York,"(42.298326, -73.973376)"
0500000US36043,61833.0,58383.0,1607.0,0.0,297.0,0.0,372.0,1174.0,Herkimer, New York,"(43.070026, -74.994246)"
0500000US36045,111755.0,95447.0,6760.0,250.0,1516.0,217.0,2144.0,5421.0,Jefferson, New York,"(44.019295, -75.898971)"
0500000US36047,2582830.0,1125773.0,827041.0,7200.0,300232.0,1370.0,226874.0,94340.0,Kings, New York,"(40.65642, -73.950691)"
0500000US36051,63227.0,58876.0,2109.0,180.0,515.0,0.0,314.0,1233.0,Livingston, New York,"(42.763754, -77.765392)"
0500000US36053,70795.0,66512.0,1211.0,62.0,1485.0,0.0,659.0,866.0,Madison, New York,"(42.986917, -75.720031)"
0500000US36055,742474.0,560874.0,112272.0,3122.0,28479.0,171.0,15041.0,22515.0,Monroe, New York,"(43.161748, -77.620143)"
0500000US36057,49455.0,43618.0,1252.0,298.0,209.0,0.0,3222.0,856.0,Montgomery, New York,"(42.933637, -74.341972)"
0500000US36059,1358343.0,918655.0,162245.0,6223.0,135709.0,1093.0,97518.0,36900.0,Nassau, New York,"(40.715749, -73.601185)"
