id,total_pop,white_population,african_american_pop,american_indian_alaska_native_pop,asian_pop,hawaiin_other_pacific_pop,other_race,two_or_more_races,County,State,Location
0500000US36001,309381.0,237074.0,36840.0,613.0,19602.0,325.0,4000.0,10927.0,Albany, New York,"(42.678066, -73.814233)"
0500000US36003,47462.0,45131.0,414.0,38.0,557.0,0.0,388.0,934.0,Allegany, New York,"(42.226801, -78.020567)"
0500000US36005,1455444.0,296739.0,475704.0,9275.0,53593.0,63.0,567160.0,52910.0,Bronx, New York,"(40.85589, -73.868294)"
0500000US36007,196567.0,169170.0,11374.0,335.0,8411.0,107.0,1745.0,5425.0,Broome, New York,"(42.122015, -75.933191)"
0500000US36009,77922.0,71494.0,1389.0,2286.0,791.0,0.0,507.0,1455.0,Cattaraugus, New York,"(42.224267, -78.606673)"
0500000US36011,78288.0,72240.0,3663.0,107.0,248.0,0.0,405.0,1625.0,Cayuga, New York,"(42.940095, -76.560755)"
0500000US36013,130779.0,121646.0,3224.0,755.0,844.0,142.0,2033.0,2135.0,Chautauqua, New York,"(42.246904, -79.315313)"
0500000US36015,87071.0,76618.0,6638.0,180.0,927.0,28.0,630.0,2050.0,Chemung, New York,"(42.116644, -76.812331)"
0500000US36017,48844.0,47063.0,758.0,137.0,212.0,0.0,242.0,432.0,Chenango, New York,"(42.481798, -75.570013)"
0500000US36019,81251.0,74541.0,3815.0,49.0,1268.0,10.0,670.0,898.0,Clinton, New York,"(44.731944, -73.548883)"
0500000US36021,61509.0,54955.0,2698.0,86.0,1053.0,0.0,533.0,2184.0,Columbia, New York,"(42.276913, -73.682168)"
0500000US36023,48494.0,46134.0,590.0,126.0,345.0,0.0,83.0,1216.0,Cortland, New York,"(42.597101, -76.143291)"
0500000US36025,46053.0,43657.0,789.0,61.0,202.0,0.0,124.0,1220.0,Delaware, New York,"(42.242972, -74.997944)"
0500000US36027,295754.0,228378.0,31237.0,799.0,11505.0,259.0,14671.0,8905.0,Dutchess, New York,"(41.686216, -73.840468)"
0500000US36029,922578.0,718294.0,126063.0,4275.0,32105.0,285.0,23033.0,18523.0,Erie, New York,"(42.888143, -78.795544)"
0500000US36031,38478.0,35588.0,1329.0,98.0,290.0,0.0,434.0,739.0,Essex, New York,"(44.166026, -73.685145)"
0500000US36033,50660.0,46232.0,2374.0,503.0,87.0,0.0,872.0,592.0,Franklin, New York,"(44.705699, -74.340621)"
0500000US36035,53992.0,51278.0,1276.0,78.0,245.0,66.0,396.0,653.0,Fulton, New York,"(43.06014, -74.331296)"
0500000US36037,58937.0,54366.0,1013.0,517.0,332.0,0.0,852.0,1857.0,Genesee, New York,"(43.000121, -78.172679)"
0500000US36043,63100.0,60215.0,314.0,223.0,474.0,525.0,342.0,1007.0,Herkimer, New York,"(43.070026, -74.994246)"
0500000US36045,117635.0,101377.0,7831.0,546.0,2350.0,225.0,1123.0,4183.0,Jefferson, New York,"(44.019295, -75.898971)"
0500000US36047,2636735.0,1143422.0,861059.0,10021.0,319263.0,375.0,234735.0,67860.0,Kings, New York,"(40.65642, -73.950691)"
0500000US36049,26957.0,25871.0,130.0,69.0,229.0,111.0,175.0,372.0,Lewis, New York,"(43.785537, -75.446296)"
0500000US36051,64717.0,60291.0,813.0,95.0,940.0,0.0,684.0,1894.0,Livingston, New York,"(42.763754, -77.765392)"
