id,Geographic Area Name,Total population,Margin of Error Total population,White Percentage,Margin of Error White Percentage,Black Percentage,Margin of Error Black Percentage,Native Percentage,Margin of Error Native Percentage,Asian Percentage,Margin of Error Asian Percentage,Islander Percentage,Margin of Error Islander Percentage,Other Percentage,Margin of Error Other Percentage,Mixed Percentage,Margin of Error Mixed Percentage,Latino Total Percentage,Margin of Error Latino Total Percentage,White Alone Percentage,Margin of Error White Alone Percentage,Mean Income Total,Margin of Error Mean Income Total,Mean Income White,Margin of Error Mean Income White,Mean Income Black,Margin of Error Mean Income Black,Mean Income Native,Margin of Error Mean Income Native,Mean Income Asian,Margin of Error Mean Income Asian,Mean Income Islander,Margin of Error Mean Income Islander,Mean Income Other,Margin of Error Mean Income Other,Mean Income Mixed,Margin of Error Mean Income Mixed,Mean Income Latino Total,Margin of Error Mean Income Latino Total,Mean Income White Alone,Margin of Error Mean Income White Alone
0500000US36001,Albany,305455,*****,77.7,0.6,13,0.6,0.2,0.1,4.9,0.4,0.1,0.1,1.3,0.5,2.8,0.7,5.3,*****,74.8,0.2,31014,1157,34083,1463,18479,2128,12810,8857,29637,5489,N,N,17330,9097,14484,4907,17657,2261,34553,1506
0500000US36005,Bronx,1408473,*****,21.1,0.7,33.2,0.5,0.5,0.1,3.7,0.1,0,0.1,38.2,0.9,3.3,0.3,54.3,*****,10.6,0.1,17603,404,25434,1278,17726,497,12693,2829,19894,2727,N,N,13406,731,13094,1670,14182,586,32554,1829
0500000US36007,Broome,198060,*****,87.8,0.5,5,0.5,0.2,0.1,3.7,0.3,0.1,0.1,1.1,0.5,2.2,0.6,3.6,*****,85.8,0.1,24948,1037,26015,1080,13490,2511,31420,25543,25065,7849,N,N,8400,3312,15410,5725,9430,2709,26383,1098
0500000US36009,Cattaraugus,79458,*****,92.2,0.4,1.4,0.3,2.8,0.4,0.8,0.2,0,0.2,0.7,0.3,2.1,0.7,1.9,*****,91.4,0.2,21470,959,22138,1014,13839,4560,19421,4335,12133,5370,N,N,N,N,8324,2841,8991,4102,22223,1009
0500000US36011,Cayuga,79552,*****,92.6,0.5,4.2,0.7,0.5,0.6,0.5,0.2,0,0.2,0.2,0.1,1.9,0.7,2.5,*****,91.1,0.1,23797,1072,24727,1171,12305,6062,15109,10756,21596,11130,N,N,N,N,9699,3972,7476,4912,25008,1163
0500000US36013,Chautauqua,133539,*****,92.9,0.9,2.4,0.4,0.5,0.2,0.6,0.1,0.3,0.5,1.9,0.8,1.4,0.5,6.5,*****,88.7,0.1,22671,1831,23760,1955,8110,5337,8639,3039,N,N,N,N,10511,3132,4827,1995,8324,1457,24485,2043
0500000US36015,Chemung,88911,*****,88.3,1,6,0.9,0.1,0.3,1.5,0.3,0,0.2,0.2,0.2,3.8,1.3,2.8,*****,86.9,0.2,22979,1110,24545,1189,10398,3388,N,N,24924,22862,N,N,N,N,6815,4209,18089,11993,24485,1201
0500000US36019,Clinton,81654,*****,92.2,0.3,4.5,0.3,0.5,0.2,1.2,0.2,0,0.2,0.7,0.2,0.9,0.3,2.6,*****,90.8,0.1,25736,1707,26813,1776,N,N,25223,13605,47206,19652,N,N,N,N,15659,12633,6843,5627,27074,1786
0500000US36027,Dutchess,297322,*****,79.6,0.7,9.7,0.5,0.6,0.3,4,0.1,0,0.1,2.9,0.6,3.2,0.7,11,*****,73.5,0.2,32405,1066,35344,1192,21464,2443,22060,16147,29800,7976,N,N,15048,3517,13293,5258,19293,3406,36233,1226
0500000US36029,Erie,919086,*****,79.1,0.3,13.3,0.3,0.5,0.1,2.9,0.1,0,0.1,2.1,0.3,2,0.3,4.8,*****,77.1,0.1,27469,564,30538,731,15835,906,16626,3175,20272,5484,N,N,11312,2120,13657,2606,13492,1825,30877,757
