id,Geographic Area Name,Total population,Margin of Error Total population,White Percentage,Margin of Error White Percentage,Black Percentage,Margin of Error Black Percentage,Native Percentage,Margin of Error Native Percentage,Asian Percentage,Margin of Error Asian Percentage,Islander Percentage,Margin of Error Islander Percentage,Other Percentage,Margin of Error Other Percentage,Mixed Percentage,Margin of Error Mixed Percentage,Latino Total Percentage,Margin of Error Latino Total Percentage,White Alone Percentage,Margin of Error White Alone Percentage,Mean Income Total,Margin of Error Mean Income Total,Mean Income White,Margin of Error Mean Income White,Mean Income Black,Margin of Error Mean Income Black,Mean Income Native,Margin of Error Mean Income Native,Mean Income Asian,Margin of Error Mean Income Asian,Mean Income Islander,Margin of Error Mean Income Islander,Mean Income Other,Margin of Error Mean Income Other,Mean Income Mixed,Margin of Error Mean Income Mixed,Mean Income Latino Total,Margin of Error Mean Income Latino Total,Mean Income White Alone,Margin of Error Mean Income White Alone
0500000US36001,Albany,308171,*****,76.6,0.6,12.1,0.7,0.1,0.1,6.1,0.2,0,0.1,1.6,0.6,3.5,0.8,5.7,*****,73.7,0.1,33008,1295,37089,1515,18712,2030,43796,11727,27960,6271,N,N,16882,5263,9411,2764,19878,3215,37453,1548
0500000US36005,Bronx,1438159,*****,20,0.7,33.2,0.4,0.5,0.1,3.8,0.1,0.1,0.1,39.4,0.7,3,0.3,54.8,*****,10.2,0.1,18158,410,26884,1256,18784,595,20205,5042,19351,1856,16434,5942,13023,583,18648,4320,14623,542,34288,1976
0500000US36007,Broome,197349,*****,86.6,0.6,5.3,0.8,0.3,0.2,4.3,0.3,0.1,0.1,0.8,0.3,2.7,0.7,3.9,*****,84.4,0.1,24270,957,25999,1166,11235,2558,10284,4260,18811,7419,N,N,11650,8112,8095,3833,12336,3898,26281,1155
0500000US36009,Cattaraugus,78600,*****,91.9,0.6,2,0.3,3,0.5,1,0.1,0,0.2,0.6,0.4,1.5,0.6,2,*****,90.8,0.2,22930,945,23031,927,16045,5883,15615,3112,71319,24513,N,N,8134,4212,14052,6204,8948,4408,23185,931
0500000US36011,Cayuga,78823,*****,91.4,0.7,4.6,0.8,0.7,0.6,0.2,0.2,0,0.2,1,0.6,2.1,0.9,2.8,*****,90.2,0.5,25458,1300,27051,1300,7786,3884,N,N,N,N,N,N,N,N,7035,4249,10586,10359,27243,1296
0500000US36013,Chautauqua,132053,*****,93.1,0.8,2.2,0.5,0.5,0.2,0.3,0.2,0,0.1,1.4,0.8,2.5,0.5,7,*****,88,0.1,22005,897,22954,947,11090,3747,N,N,N,N,N,N,8396,3520,5704,3427,9841,1931,23673,996
0500000US36015,Chemung,87770,*****,87.9,0.8,5.4,1.2,0.1,0.1,2.1,0.7,0,0.2,0,0.1,4.4,1.5,2.9,*****,86.5,0.2,26159,1466,27241,1573,11434,3314,N,N,61713,30137,N,N,N,N,5575,3170,14567,11172,27238,1549
0500000US36019,Clinton,81632,*****,90.7,0.4,3.8,0.7,0.3,0.3,1.6,0.2,0,0.1,1.9,0.4,1.7,0.6,2.8,*****,89.9,0.1,24992,1619,26664,1746,7737,4375,N,N,11932,12361,N,N,N,N,N,N,4845,3273,26808,1752
0500000US36027,Dutchess,296579,*****,78.2,1,10.4,0.7,0.5,0.4,3.9,0.2,0,0.1,4.4,1,2.6,0.6,11.6,*****,72.6,0.1,33455,1457,36041,1555,24971,5349,22801,14918,36904,6224,N,N,15709,4376,16635,4741,22401,2871,36700,1543
0500000US36029,Erie,922835,*****,78,0.3,13.5,0.3,0.5,0.1,3.3,0.2,0,0.1,2.3,0.3,2.4,0.4,5.1,*****,76.2,0.1,29188,917,32457,944,19376,3593,13877,2812,18970,3586,24821,18748,11219,2046,12190,1994,13787,1653,32722,949
0500000US36045,Jefferson,119103,*****,85.7,0.9,5.1,1,0.5,0.2,2,0.4,0,0.1,2.8,0.8,3.8,1.1,7.3,*****,82,0.2,24054,1179,25348,1450,18432,5527,52241,33963,24825,12811,N,N,9901,3060,8988,3336,10874,2140,25946,1489
