id,Geographic Area Name,Total population,Margin of Error Total population,White Percentage,Margin of Error White Percentage,Black Percentage,Margin of Error Black Percentage,Native Percentage,Margin of Error Native Percentage,Asian Percentage,Margin of Error Asian Percentage,Islander Percentage,Margin of Error Islander Percentage,Other Percentage,Margin of Error Other Percentage,Mixed Percentage,Margin of Error Mixed Percentage,Latino Total Percentage,Margin of Error Latino Total Percentage,White Alone Percentage,Margin of Error White Alone Percentage,Mean Income Total,Margin of Error Mean Income Total,Mean Income White,Margin of Error Mean Income White,Mean Income Black,Margin of Error Mean Income Black,Mean Income Native,Margin of Error Mean Income Native,Mean Income Asian,Margin of Error Mean Income Asian,Mean Income Islander,Margin of Error Mean Income Islander,Mean Income Other,Margin of Error Mean Income Other,Mean Income Mixed,Margin of Error Mean Income Mixed,Mean Income Latino Total,Margin of Error Mean Income Latino Total,Mean Income White Alone,Margin of Error Mean Income White Alone
0500000US36087,Rockland,325695,*****,71.6,1.2,12,0.8,0.1,0.2,6,0.3,0,0.1,7.1,1.5,3.2,0.8,18.1,*****,62.6,0.2,37371,1760,39400,2199,34626,6062,N,N,47879,7318,N,N,21949,5163,17828,5582,28303,3900,39989,2085
0500000US36105,Sullivan,75498,*****,80.9,2.2,8.8,1.1,0.4,0.5,1.7,0.3,0,0.2,5.1,2.3,3,1.4,16.6,*****,70.5,0.9,29049,2346,31193,2792,16948,3449,N,N,25003,15530,N,N,22688,12936,17358,14504,20707,4710,32717,3089
0500000US36111,Ulster,178599,*****,83.5,1.4,6,0.5,0.3,0.2,1.7,0.6,0,0.1,2.9,1,5.7,1.8,10.5,*****,78.4,0.5,35400,1690,39348,1967,15928,2910,21134,9316,8180,4478,N,N,21792,7860,13511,3992,17533,3216,40607,2094
0500000US36053,Madison,70795,*****,94,0.5,1.7,0.7,0.1,0.1,2.1,0.7,0,0.2,0.9,0.7,1.2,0.6,2.3,*****,92.9,0.3,28421,2016,29139,2044,5676,3450,N,N,29900,22995,N,N,N,N,21785,21630,10225,8011,29307,2072
0500000US36081,Queens,2278906,*****,37.2,0.6,18.4,0.3,0.4,0.1,25.8,0.2,0,0.1,14.3,0.7,3.8,0.4,28.1,*****,24.7,0.1,31866,470,38723,850,30154,1078,23975,7081,29435,967,N,N,22057,1056,26664,2829,24007,756,44874,1123
0500000US36119,Westchester,967612,*****,63.1,0.9,14.9,0.4,0.3,0.1,6.1,0.2,0,0.1,12.6,1,3,0.4,25.1,*****,52.9,0.1,56893,1401,70067,1998,33470,2388,42077,21871,60993,6696,N,N,24129,3213,25763,7498,29589,2087,76500,2156
0500000US36113,Warren,64265,*****,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,33270,2817,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
0500000US36117,Wayne,90064,*****,93.4,0.5,2.3,0.6,0,0.1,0.7,0.2,0,0.2,1,0.6,2.6,0.7,4.5,*****,89.8,0.2,33106,2967,34209,3124,18918,9104,N,N,40980,18711,N,N,25178,9751,6948,3080,18694,4702,34894,3229
0500000US36005,Bronx,1432132,*****,22.5,1,35.6,0.8,0.6,0.1,3.8,0.2,0.1,0.1,33.1,1.3,4.3,0.5,56.4,*****,8.9,0.1,21712,569,28331,1578,22154,1061,16304,4496,25068,3467,11400,1338,16158,768,24317,6734,17847,666,41270,2649
0500000US36007,Broome,191659,*****,85.1,0.8,5.6,0.7,0.3,0.1,4.9,0.2,0.1,0.1,1.7,0.8,2.3,0.7,4.3,*****,82.9,0.1,28097,1724,29457,1991,15718,3707,40758,32714,29125,14919,N,N,15477,10753,13571,5966,16218,4290,29817,1980
0500000US36027,Dutchess,293718,*****,78,0.8,11,0.7,0.3,0.2,3.4,0.4,0,0.1,3.5,0.8,3.7,0.9,12.5,*****,70.9,0.3,38897,1603,41830,1681,28852,4298,21726,15505,51721,10154,N,N,19536,4923,15564,3871,22326,2497,43407,1818
0500000US36101,Steuben,95796,*****,94.7,0.3,1.4,0.4,0,0.1,1.6,0.2,0,0.2,0.5,0.3,1.7,0.5,1.7,*****,93.5,0.1,29880,1698,29812,1626,54423,32917,N,N,41192,23245,N,N,10382,8169,8975,4031,16607,8130,29942,1653
0500000US36067,Onondaga,461809,*****,79.6,0.5,12.1,0.4,0.7,0.3,3.5,0.4,0,0.1,0.8,0.3,3.3,0.5,5.1,*****,76.5,0.1,33325,1138,36780,1385,17947,2127,21096,7796,29824,6678,N,N,24024,5378,14958,3058,17034,2593,37610,1436
0500000US36069,Ontario,109864,*****,92.1,0.8,2.4,0.7,0.2,0.2,1.2,0.4,0,0.2,1.9,1,2.2,0.9,5,*****,89.6,0.1,36344,2497,37297,2528,42059,31336,N,N,29672,22647,N,N,14001,4124,15419,11947,15206,4861,37888,2589
0500000US36015,Chemung,84254,*****,88.2,0.6,5.9,1.5,0,0.1,1.4,0.6,0,0.2,0.6,0.5,3.8,1.7,3.2,*****,86.1,0.1,30185,3355,31912,3863,15157,6510,N,N,58662,11972,N,N,17259,3240,5560,3022,25668,10818,31891,3953
0500000US36045,Jefferson,111755,*****,85.4,0.9,6,1,0.2,0.2,1.4,0.4,0.2,0.2,1.9,0.6,4.9,1.1,7.8,*****,81.2,0.1,26769,1519,27303,1549,17904,4265,11509,10515,32062,19716,N,N,32324,9268,24832,17553,19754,3482,27841,1605
0500000US36001,Albany,307117,*****,74.6,0.6,12.9,1,0.1,0.1,7,0.3,0.3,0.4,0.9,0.3,4.3,0.9,6.1,*****,71.6,0.1,36931,1423,41031,1693,19367,1950,N,N,39743,8026,N,N,40449,24060,14708,3057,23086,5699,41701,1629
0500000US36029,Erie,919719,*****,77.4,0.3,13.2,0.3,0.4,0.1,3.7,0.2,0,0.1,2.4,0.3,2.7,0.4,5.7,*****,75.1,0.1,32795,777,36431,874,19803,1313,15345,3256,27785,5260,N,N,17376,7847,16243,3106,18945,3797,36878,909
0500000US36059,Nassau,1358343,*****,67.6,0.8,11.9,0.3,0.5,0.2,10,0.3,0.1,0.1,7.2,0.8,2.7,0.5,17.2,*****,59,0.1,50397,948,57021,1278,38236,1996,19221,4732,48351,2494,15416,7262,22065,2077,27635,5978,27988,1423,60505,1380
0500000US36071,Orange,381951,*****,73.1,1.6,11.3,0.6,0.2,0.2,2.9,0.3,0.1,0.1,8.2,1.6,4.2,1,21,*****,63.4,0.1,34279,1287,37084,1604,28363,3077,18545,7307,47083,10225,N,N,22451,3936,16663,4002,23604,2277,38963,1864
0500000US36083,Rensselaer,159442,*****,85.8,0.7,6.7,0.7,0.1,0.1,2.7,0.3,0,0.1,0.7,0.4,4,0.8,5.2,*****,82.7,0.1,34381,1712,36729,1773,27898,15258,27982,22657,17181,5761,N,N,21734,8057,8956,3188,14675,3644,37436,1799
0500000US36013,Chautauqua,127939,*****,90.9,1,2.7,0.6,0.3,0.3,0.6,0.3,0.1,0.2,3.5,1,2,0.8,7.8,*****,87,0.2,25964,1360,27153,1486,11686,5406,11405,4014,31329,8324,N,N,12862,4345,12307,4890,12420,4704,27804,1692
0500000US36019,Clinton,80695,*****,90.6,0.6,4.5,0.4,0.1,0.1,1.2,0.5,0,0.2,3,0.7,0.6,0.4,4.1,0.6,89.6,0.2,27980,1657,29971,1877,N,N,N,N,19798,10104,N,N,7455,4269,21057,11924,9506,3934,30177,1851
0500000US36061,New York,1628701,*****,55.5,0.7,14.5,0.4,0.8,0.2,12.3,0.2,0.1,0.1,11.9,0.7,4.9,0.6,25.9,*****,46.8,0.1,74911,1872,103192,3234,28901,2309,26810,9673,73255,6507,27915,16562,18358,1576,40377,8207,27252,2117,114492,3519
0500000US36091,Saratoga,230163,*****,92.4,0.6,2.1,0.4,0.2,0.2,2.6,0.3,0,0.1,0.7,0.4,1.9,0.4,3.4,*****,90.1,0.1,43386,1900,44052,1911,24740,10473,33926,27671,53085,15669,N,N,22359,13737,27856,14090,28545,12224,44287,1925
0500000US36009,Cattaraugus,76840,*****,91.7,0.4,1.3,0.8,3.3,0.4,0.6,0.2,0,0.2,0.8,0.5,2.3,0.9,2.1,*****,90.4,0.1,25133,1334,25740,1377,11763,5897,20523,6089,44475,25186,N,N,15114,6567,13457,9598,22413,10167,25701,1368
0500000US36055,Monroe,742474,*****,75.5,0.5,15.1,0.5,0.4,0.2,3.8,0.2,0,0.1,2,0.4,3,0.5,9,*****,70.2,0.1,32970,817,36953,930,20868,2151,17031,6493,26621,4679,N,N,19273,3483,13734,2718,17720,1416,38305,988
0500000US36109,Tompkins,102793,*****,79.3,0.8,4.6,0.6,0.2,0.2,10.2,0.9,0,0.2,2.5,1.2,3.2,1,5.3,*****,76.8,0.2,32370,2546,36069,2934,21116,11510,N,N,22472,5808,N,N,5870,2005,10177,4652,20894,18153,36117,2870
0500000US36065,Oneida,229577,*****,85.3,0.7,6.8,0.4,0.3,0.1,4.3,0.3,0,0.1,1.3,0.5,2.1,0.7,6.1,*****,81.6,0.1,27883,975,29661,1066,21821,7875,N,N,16588,3719,N,N,10737,2359,12007,6587,15699,3222,30181,1106
0500000US36075,Oswego,117898,*****,95.1,0.6,1.4,0.3,0.1,0.1,0.8,0.2,0,0.1,0.6,0.5,2,0.5,2.7,*****,93.8,0.1,29304,1841,30154,1942,9179,2429,N,N,18016,10250,N,N,N,N,14273,6413,23421,14080,30109,1854
