race,date,meanIncome,county,percentage
asian,2010,23700,Richmond,8
asian,2010,37222,Rockland,0
asian,2010,24333,St. Lawrence,0
asian,2010,48191,Saratoga,0
asian,2010,21611,Schenectady,0
asian,2010,42979,Steuben,0
asian,2010,31134,Suffolk,0
asian,2010,28781,Sullivan,0
asian,2010,15131,Tompkins,0
asian,2010,14332,Ulster,0
asian,2010,0,Warren,0
asian,2010,0,Wayne,0
asian,2010,53234,Westchester,0
islander,2010,0,Albany,0
islander,2010,0,Bronx,0
islander,2010,0,Broome,0
islander,2010,0,Cattaraugus,0
islander,2010,0,Cayuga,0
islander,2010,0,Chautauqua,0
islander,2010,0,Chemung,0
islander,2010,0,Clinton,0
islander,2010,0,Dutchess,0
islander,2010,0,Erie,0
islander,2010,0,Jefferson,0
islander,2010,22507,Kings,0
islander,2010,0,Livingston,0
islander,2010,0,Madison,0
islander,2010,0,Monroe,0
islander,2010,0,Nassau,0
islander,2010,0,New York,0
islander,2010,0,Niagara,0
islander,2010,0,Oneida,0
islander,2010,0,Onondaga,0
islander,2010,0,Ontario,0
islander,2010,0,Orange,0
islander,2010,0,Oswego,0
islander,2010,0,Putnam,0
islander,2010,0,Queens,0
islander,2010,0,Rensselaer,0
islander,2010,0,Richmond,0
islander,2010,0,Rockland,0
islander,2010,0,St. Lawrence,0
islander,2010,0,Saratoga,0
islander,2010,0,Schenectady,0
islander,2010,0,Steuben,0
islander,2010,0,Suffolk,0
islander,2010,0,Sullivan,0
islander,2010,0,Tompkins,0
islander,2010,0,Ulster,0
islander,2010,0,Warren,0
islander,2010,0,Wayne,0
islander,2010,0,Westchester,0
other,2010,18575,Albany,0
other,2010,13088,Bronx,34
other,2010,10855,Broome,0
other,2010,0,Cattaraugus,0
other,2010,0,Cayuga,0
other,2010,17194,Chautauqua,0
other,2010,0,Chemung,0
other,2010,0,Clinton,0
other,2010,18334,Dutchess,0
other,2010,12671,Erie,0
other,2010,13573,Jefferson,0
other,2010,14883,Kings,0
other,2010,26676,Livingston,0
other,2010,0,Madison,0
other,2010,13731,Monroe,0
other,2010,19012,Nassau,0
other,2010,16764,New York,0
other,2010,0,Niagara,0
other,2010,7490,Oneida,0
other,2010,7781,Onondaga,0
other,2010,0,Ontario,0
other,2010,18382,Orange,0
other,2010,0,Oswego,0
other,2010,14046,Putnam,0
other,2010,17971,Queens,0
other,2010,18005,Rensselaer,0
other,2010,17487,Richmond,0
other,2010,17485,Rockland,0
other,2010,1457,St. Lawrence,0
other,2010,15865,Saratoga,0
other,2010,10701,Schenectady,0
other,2010,0,Steuben,0
other,2010,16252,Suffolk,6
other,2010,17205,Sullivan,0
other,2010,0,Tompkins,0
other,2010,12887,Ulster,0
other,2010,0,Warren,0
other,2010,0,Wayne,0
other,2010,14881,Westchester,0
mixed,2010,12511,Albany,0
mixed,2010,12232,Bronx,0
mixed,2010,14985,Broome,0
mixed,2010,15482,Cattaraugus,0
mixed,2010,6103,Cayuga,1
mixed,2010,5197,Chautauqua,0
mixed,2010,6381,Chemung,3
mixed,2010,0,Clinton,0
mixed,2010,23520,Dutchess,0
mixed,2010,12719,Erie,0
mixed,2010,9896,Jefferson,3
mixed,2010,17681,Kings,2
mixed,2010,13279,Livingston,0
mixed,2010,5822,Madison,0
mixed,2010,8855,Monroe,0
mixed,2010,23201,Nassau,0
mixed,2010,24954,New York,0
mixed,2010,11234,Niagara,2
mixed,2010,8445,Oneida,0
mixed,2010,11245,Onondaga,0
mixed,2010,5634,Ontario,0
mixed,2010,9354,Orange,0
mixed,2010,9195,Oswego,0
mixed,2010,7138,Putnam,0
mixed,2010,19199,Queens,0
mixed,2010,13768,Rensselaer,0
mixed,2010,21188,Richmond,0
mixed,2010,29461,Rockland,0
mixed,2010,18847,St. Lawrence,2
mixed,2010,13071,Saratoga,0
mixed,2010,4935,Schenectady,2
mixed,2010,10160,Steuben,0
mixed,2010,14324,Suffolk,2
mixed,2010,19650,Sullivan,0
mixed,2010,12776,Tompkins,0
mixed,2010,12104,Ulster,0
mixed,2010,0,Warren,0
mixed,2010,8171,Wayne,0
mixed,2010,17424,Westchester,0
latino,2010,18111,Albany,5
latino,2010,13610,Bronx,0
