"GEO_ID","NAME","S1902_C01_007M","S1902_C01_008E","S1902_C01_008M","S1902_C01_009E","S1902_C01_009M","S1902_C01_010E","S1902_C01_010M","S1902_C01_011E","S1902_C01_011M","S1902_C01_012E","S1902_C01_012M","S1902_C01_013E","S1902_C01_013M","S1902_C01_014E","S1902_C01_014M","S1902_C01_015E","S1902_C01_015M","S1902_C01_016E","S1902_C01_016M","S1902_C01_017E","S1902_C01_017M","S1902_C01_018E","S1902_C01_018M","S1902_C01_019E","S1902_C01_019M","S1902_C01_020E","S1902_C01_020M","S1902_C01_021E","S1902_C01_021M","S1902_C01_022E","S1902_C01_022M","S1902_C01_023E","S1902_C01_023M","S1902_C01_024E","S1902_C01_024M","S1902_C01_025E","S1902_C01_025M","S1902_C01_026E","S1902_C01_026M","S1902_C01_027E","S1902_C01_027M","S1902_C02_001E","S1902_C02_001M","S1902_C02_002E","S1902_C02_002M","S1902_C02_003E","S1902_C02_003M","S1902_C02_004E","S1902_C02_004M","S1902_C02_005E","S1902_C02_005M","S1902_C02_006E","S1902_C02_006M","S1902_C02_007E","S1902_C02_007M","S1902_C02_008E","S1902_C02_008M","S1902_C02_009E","S1902_C02_009M","S1902_C02_010E","S1902_C02_010M","S1902_C02_011E","S1902_C02_011M","S1902_C02_012E","S1902_C02_012M","S1902_C02_013E","S1902_C02_013M","S1902_C02_014E","S1902_C02_014M","S1902_C02_015E","S1902_C02_015M","S1902_C02_016E","S1902_C02_016M","S1902_C02_017E","S1902_C02_017M","S1902_C02_018E","S1902_C02_018M","S1902_C02_019E","S1902_C02_019M","S1902_C02_020E","S1902_C02_020M","S1902_C02_021E","S1902_C02_021M","S1902_C02_022E","S1902_C02_022M","S1902_C02_023E","S1902_C02_023M","S1902_C02_024E","S1902_C02_024M","S1902_C02_025E","S1902_C02_025M","S1902_C02_026E","S1902_C02_026M","S1902_C02_027E","S1902_C02_027M","S1902_C01_001E","S1902_C01_001M","S1902_C01_002E","S1902_C01_002M","S1902_C01_003E","S1902_C01_003M","S1902_C01_004E","S1902_C01_004M","S1902_C01_005E","S1902_C01_005M","S1902_C01_006E","S1902_C01_006M","S1902_C01_007E"
"0500000US33005","Cheshire County, New Hampshire","2.4","20227","1205","14.9","2.8","35.0","4.4","35.0","4.2","5.4","2.6","7.6","2.0","2.1","1.2","76115","*****","95.3","0.6","0.9","0.4","0.4","0.3","1.5","0.8","0.0","0.2","0.6","0.6","1.3","1.0","1.7","*****","94.5","0.1","31.3","(X)","30.8","(X)","23.5","(X)","81028","9975","73591","7975","37416","22385","18734","1221","10316","2774","3866","2369","26643","11274","92686","11183","67361","20467","73169","26676","113941","13178","74121","12632","147961","34961","89004","24324","34010","4085","34821","4280","21689","6297","27635","4758","N","N","N","N","N","N","12753","6718","15265","5521","34945","4294","(X)","(X)","(X)","(X)","(X)","(X)","31305","741","79.6","2.6","25.9","3.0","33.5","2.3","4.8","1.9","2.2","1.1","17.3"
"0500000US33009","Grafton County, New Hampshire","2.6","22539","1670","14.9","3.4","34.3","4.1","36.8","4.2","6.2","2.3","7.2","2.2","0.6","0.5","89658","*****","92.7","0.3","1.3","0.6","0.7","0.3","4.0","0.5","0.4","0.3","0.1","0.1","1.0","0.6","2.2","*****","91.2","0.1","28.5","(X)","27.8","(X)","23.0","(X)","78154","5699","76451","7002","15037","4054","19497","1206","10549","2274","3728","3226","24632","3888","90338","8387","51793","10142","83443","13985","107265","13179","69395","22183","135717","28847","74679","20574","31904","2070","32976","2244","23751","13511","8136","6704","16812","8207","N","N","N","N","22942","15829","20934","19488","33179","2272","(X)","(X)","(X)","(X)","(X)","(X)","35436","1470","78.6","3.3","30.3","2.8","36.7","2.6","6.3","2.1","3.2","1.3","17.5"
"0500000US33011","Hillsborough County, New Hampshire","1.2","103048","2621","9.1","1.1","31.4","2.2","36.4","2.0","9.1","1.4","11.4","1.5","2.7","0.8","405184","*****","90.6","0.4","2.3","0.3","0.1","0.1","3.6","0.3","0.0","0.1","0.7","0.2","2.6","0.5","6.0","*****","86.2","0.1","25.5","(X)","24.8","(X)","20.8","(X)","90207","2534","92038","3204","13452","3053","18548","786","10488","885","3654","1169","24189","3355","104717","3675","51908","8874","81128","6800","130482","6234","78055","7660","149931","11084","109078","27998","35255","932","36238","904","20849","3647","30059","16382","32486","7882","N","N","20150","7003","21977","11769","20089","5561","37123","954","(X)","(X)","(X)","(X)","(X)","(X)","153482","1888","83.2","1.3","22.0","1.4","27.7","1.3","4.1","0.8","2.3","0.6","15.6"
"0500000US33013","Merrimack County, New Hampshire","2.0","38314","1895","11.9","2.1","29.6","3.4","38.6","3.4","8.0","2.1","10.3","1.7","1.5","0.8","147171","*****","94.4","0.3","1.2","0.3","0.0","0.1","1.9","0.3","0.0","0.1","0.7","0.3","1.9","0.5","1.9","*****","93.3","0.1","27.8","(X)","25.1","(X)","21.3","(X)","81218","4480","82872","4577","15759","7348","18801","819","9331","993","3046","1090","20159","2281","96166","6022","48660","21607","71978","8403","118883","8892","87371","22684","142991","13925","89690","20162","32548","1889","33551","2024","17745","7908","N","N","16083","13930","N","N","12270","9977","15158","6286","14125","4516","33769","2034","(X)","(X)","(X)","(X)","(X)","(X)","57023","1238","79.4","1.9","24.7","2.4","32.9","1.8","4.4","1.1","2.9","1.0","19.0"
"0500000US33015","Rockingham County, New Hampshire","1.4","82415","2572","9.8","1.3","28.3","2.3","36.9","2.6","9.9","1.8","12.9","1.7","2.2","0.7","300621","*****","94.7","0.5","0.7","0.1","0.1","0.1","1.7","0.2","0.0","0.1","0.5","0.3","2.2","0.5","2.6","*****","93.2","0.1","24.0","(X)","24.4","(X)","18.4","(X)","103234","4054","102094","4669","20366","4431","19129","720","8881","1227","3211","1249","27296","3040","118330","4842","62685","8368","94343","10880","140824","9125","93317","9765","169208","14870","110122","18948","41167","1557","41800","1557","31906","9017","73617","46723","47380","17461","N","N","27272","11371","14931","4938","20482","4686","42136","1573","(X)","(X)","(X)","(X)","(X)","(X)","119020","1698","83.0","1.2","28.7","1.8","29.7","1.2","3.1","0.7","2.1","0.8","19.3"
"0500000US33017","Strafford County, New Hampshire","2.3","28230","1797","12.6","2.6","33.0","4.3","36.6","4.4","6.7","2.2","8.6","2.6","2.5","1.4","125604","*****","93.3","0.3","0.5","0.5","0.0","0.1","3.6","0.4","0.0","0.1","0.3","0.2","2.3","0.6","2.2","*****","91.5","0.1","23.5","(X)","22.7","(X)","17.9","(X)","76078","4932","77721","5453","13963","3183","17229","1265","9751","1744","2178","1429","23652","3492","95998","6478","53847","9267","73572","15096","121538","9393","79112","14173","137503","17935","132432","74997","29595","1747","29786","1700","N","N","N","N","33208","16564","N","N","23595","12250","20661","13618","21495","6483","29925","1746","(X)","(X)","(X)","(X)","(X)","(X)","46859","1410","79.3","3.2","22.9","2.7","31.4","2.4","4.2","1.5","2.1","0.9","18.0"
"0500000US34001","Atlantic County, New Jersey","1.6","67491","2769","14.2","1.7","32.6","2.9","27.8","2.4","14.5","2.3","8.5","1.5","2.4","0.7","275209","*****","67.7","1.3","15.8","0.8","0.1","0.1","8.3","0.2","0.0","0.1","4.0","1.2","4.0","1.0","18.5","*****","56.7","0.1","39.8","(X)","39.4","(X)","30.9","(X)","72116","2820","70877","3462","19000","3968","18103","709","9675","968","3043","912","24844","2151","82337","3812","51035","5973","61744","5414","113510","8027","75433","8704","122277","12001","85993","15488","27885","1051","32878","1507","17426","1908","11600","6878","18548","2174","N","N","18963","5190","13751","4144","15147","1335","36466","1686","(X)","(X)","(X)","(X)","(X)","(X)","101937","2285","77.8","1.6","19.7","1.7","35.0","1.6","5.5","1.0","3.0","0.8","19.6"
"0500000US34003","Bergen County, New Jersey","0.8","244808","3934","10.4","0.9","30.4","1.7","33.2","1.5","10.6","1.0","10.5","0.9","4.8","0.7","933572","*****","70.0","0.7","6.0","0.2","0.2","0.1","16.0","0.2","0.0","0.1","5.8","0.7","2.1","0.3","18.5","*****","58.3","0.1","35.3","(X)","36.0","(X)","27.4","(X)","114339","3169","117794","3645","19140","1688","20617","488","9702","649","4663","1547","28452","2749","132398","3864","58046","5112","115041","8845","161372","5990","110455","10353","182300","9441","142433","18048","42151","1137","44996","1125","31205","2548","20211","11377","43384","4481","N","N","24686","3021","18609","3191","24969","1474","48978","1295","(X)","(X)","(X)","(X)","(X)","(X)","337469","2770","82.2","0.7","28.2","1.0","29.9","0.9","3.3","0.5","1.3","0.3","14.3"
"0500000US34005","Burlington County, New Jersey","1.1","117135","2990","10.9","1.0","29.2","1.7","35.1","1.6","9.9","1.2","12.7","1.3","2.2","0.5","449722","*****","72.2","0.5","15.6","0.6","0.1","0.1","4.4","0.3","0.0","0.1","3.1","0.6","4.6","0.6","7.5","*****","68.6","0.2","27.4","(X)","27.0","(X)","21.9","(X)","100411","3749","100601","3659","19558","4198","19711","619","9093","1006","2572","716","26330","1888","116976","4936","60344","7830","90834","10127","139934","7072","101506","6876","173912","23954","119016","12369","37660","1316","41178","1674","27770","1672","26364","17739","47437","9313","N","N","21912","3487","17611","3119","27202","8556","41496","1356","(X)","(X)","(X)","(X)","(X)","(X)","165424","2105","80.9","1.0","24.2","1.4","32.5","0.9","3.8","0.6","1.7","0.4","21.8"
"0500000US34007","Camden County, New Jersey","1.1","126791","4009","12.3","1.2","34.4","2.3","28.1","1.6","10.7","1.4","10.3","1.2","4.3","0.9","511038","*****","61.8","0.7","19.8","0.6","0.3","0.1","5.8","0.2","0.0","0.1","10.2","0.8","2.1","0.4","15.6","*****","58.1","0.2","36.5","(X)","36.3","(X)","29.4","(X)","82372","2943","86434","3041","11792","2504","17895","499","9112","509","2821","527","24237","2397","96620","4214","35839","3584","71571","4369","138084","10539","81897","8329","152754","12740","101256","9004","31285","1025","37609","1442","22188","1846","13572","13001","31922","6235","N","N","14476","1423","13392","3880","14740","1138","38763","1498","(X)","(X)","(X)","(X)","(X)","(X)","188064","1970","78.7","1.3","18.8","1.3","31.5","1.1","5.1","0.9","2.3","0.5","18.0"
