race,date,meanIncome,county,MOE
Black,2010,11424,Chautauqua,5313
Black,2010,20991,Chemung,10927
Black,2010,4468,Clinton,3829
Black,2010,21593,Dutchess,3027
Black,2010,15443,Erie,1157
Black,2010,18138,Jefferson,6896
Black,2010,20435,Kings,819
Black,2010,0,Livingston,0
Black,2010,0,Madison,0
Black,2010,15323,Monroe,2268
Black,2010,25622,Nassau,1363
Black,2010,22828,New York,1596
Black,2010,13518,Niagara,2744
Black,2010,10153,Oneida,3097
Black,2010,13992,Onondaga,1835
Black,2010,16566,Ontario,7770
Black,2010,24011,Orange,2403
Black,2010,14321,Oswego,7080
Black,2010,32877,Putnam,15557
Black,2010,22920,Queens,660
Black,2010,14633,Rensselaer,3810
Black,2010,21368,Richmond,2610
Black,2010,27261,Rockland,4680
Black,2010,5752,St. Lawrence,4113
Black,2010,22742,Saratoga,7889
Black,2010,13693,Schenectady,2153
Black,2010,12097,Steuben,5326
Black,2010,23313,Suffolk,1558
Black,2010,13187,Sullivan,4414
Black,2010,9799,Tompkins,4725
Black,2010,15303,Ulster,2779
Black,2010,0,Warren,0
Black,2010,14420,Wayne,6274
Black,2010,28317,Westchester,2637
Latino,2010,18111,Albany,2998
Latino,2010,13610,Bronx,493
Latino,2010,8591,Broome,2366
Latino,2010,13115,Cattaraugus,7645
Latino,2010,5077,Cayuga,2897
Latino,2010,10240,Chautauqua,2216
Latino,2010,11268,Chemung,6079
Latino,2010,10533,Clinton,4484
Latino,2010,21808,Dutchess,3801
Latino,2010,14000,Erie,1671
Latino,2010,15453,Jefferson,3313
Latino,2010,15603,Kings,613
Latino,2010,13683,Livingston,8232
Latino,2010,7278,Madison,3925
Latino,2010,13408,Monroe,1596
Latino,2010,20642,Nassau,1081
Latino,2010,20276,New York,1473
Latino,2010,18445,Niagara,8540
Latino,2010,8740,Oneida,2357
Latino,2010,11957,Onondaga,2268
Latino,2010,13610,Ontario,5831
Latino,2010,19111,Orange,1396
Latino,2010,7128,Oswego,5775
Latino,2010,17050,Putnam,7320
Latino,2010,19088,Queens,541
Latino,2010,8200,Rensselaer,2389
Latino,2010,21123,Richmond,2622
Latino,2010,21480,Rockland,1768
Latino,2010,13352,St. Lawrence,7103
Latino,2010,21710,Saratoga,8051
Latino,2010,12011,Schenectady,2199
Latino,2010,19704,Steuben,14887
Latino,2010,18853,Suffolk,751
Latino,2010,17768,Sullivan,3531
Latino,2010,16463,Tompkins,7374
Latino,2010,15486,Ulster,2629
Latino,2010,0,Warren,0
Latino,2010,10190,Wayne,4335
Latino,2010,18863,Westchester,1286
Native,2010,25723,Albany,7709
Native,2010,12330,Bronx,3980
Native,2010,32277,Broome,20480
Native,2010,17559,Cattaraugus,4831
Native,2010,0,Cayuga,0
Native,2010,17481,Chautauqua,7513
Native,2010,0,Chemung,0
Native,2010,0,Clinton,0
Native,2010,22591,Dutchess,7224
Native,2010,15364,Erie,4616
Native,2010,11435,Jefferson,9342
Native,2010,14259,Kings,3392
Native,2010,0,Livingston,0
Native,2010,0,Madison,0
Native,2010,28665,Monroe,20279
Native,2010,21530,Nassau,7614
Native,2010,16416,New York,5275
Native,2010,22658,Niagara,5895
Native,2010,25460,Oneida,10958
Native,2010,18981,Onondaga,4944
Native,2010,15118,Ontario,6410
Native,2010,34594,Orange,17465
Native,2010,10868,Oswego,10676
Native,2010,0,Putnam,0
Native,2010,19690,Queens,7864
Native,2010,16400,Rensselaer,9268
Native,2010,0,Richmond,0
Native,2010,31982,Rockland,22521
Native,2010,19566,St. Lawrence,9583
Native,2010,0,Saratoga,0
Native,2010,13996,Schenectady,9712
Native,2010,0,Steuben,0
Native,2010,21579,Suffolk,11201
Native,2010,0,Sullivan,0
Native,2010,0,Tompkins,0
Native,2010,0,Ulster,0
Native,2010,0,Warren,0
Native,2010,0,Wayne,0
Native,2010,30958,Westchester,8389
Other,2010,18575,Albany,6563
Other,2010,13088,Bronx,626
Other,2010,10855,Broome,7712
Other,2010,0,Cattaraugus,0
Other,2010,0,Cayuga,0
Other,2010,17194,Chautauqua,5617
Other,2010,0,Chemung,0
Other,2010,0,Clinton,0
Other,2010,18334,Dutchess,4276
Other,2010,12671,Erie,4667
Other,2010,13573,Jefferson,4016
Other,2010,14883,Kings,1029
Other,2010,26676,Livingston,2409
Other,2010,0,Madison,0
Other,2010,13731,Monroe,2619
Other,2010,19012,Nassau,1870
Other,2010,16764,New York,2099
Other,2010,0,Niagara,0
Other,2010,7490,Oneida,2795
Other,2010,7781,Onondaga,3059
Other,2010,0,Ontario,0
Other,2010,18382,Orange,2897
Other,2010,0,Oswego,0
Other,2010,14046,Putnam,6295
Other,2010,17971,Queens,914
Other,2010,18005,Rensselaer,8254
Other,2010,17487,Richmond,5425
Other,2010,17485,Rockland,2561
Other,2010,1457,St. Lawrence,698
Other,2010,15865,Saratoga,8435
Other,2010,10701,Schenectady,3108
Other,2010,0,Steuben,0
Other,2010,16252,Suffolk,1466
Other,2010,17205,Sullivan,5956
Other,2010,0,Tompkins,0
Other,2010,12887,Ulster,4145
Other,2010,0,Warren,0
Other,2010,0,Wayne,0
Other,2010,14881,Westchester,1198
Islander,2010,0,Albany,0
Islander,2010,0,Bronx,0
Islander,2010,0,Broome,0
Islander,2010,0,Cattaraugus,0
Islander,2010,0,Cayuga,0
Islander,2010,0,Chautauqua,0
Islander,2010,0,Chemung,0
Islander,2010,0,Clinton,0
Islander,2010,0,Dutchess,0
Islander,2010,0,Erie,0
Islander,2010,0,Jefferson,0
Islander,2010,22507,Kings,6507
Islander,2010,0,Livingston,0
Islander,2010,0,Madison,0
Islander,2010,0,Monroe,0
Islander,2010,0,Nassau,0
Islander,2010,0,New York,0
Islander,2010,0,Niagara,0
Islander,2010,0,Oneida,0
Islander,2010,0,Onondaga,0
Islander,2010,0,Ontario,0
Islander,2010,0,Orange,0
Islander,2010,0,Oswego,0
Islander,2010,0,Putnam,0
Islander,2010,0,Queens,0
Islander,2010,0,Rensselaer,0
Islander,2010,0,Richmond,0
Islander,2010,0,Rockland,0
Islander,2010,0,St. Lawrence,0
Islander,2010,0,Saratoga,0
Islander,2010,0,Schenectady,0
Islander,2010,0,Steuben,0
Islander,2010,0,Suffolk,0
Islander,2010,0,Sullivan,0
Islander,2010,0,Tompkins,0
Islander,2010,0,Ulster,0
Islander,2010,0,Warren,0
Islander,2010,0,Wayne,0
Islander,2010,0,Westchester,0
White,2011,33844,Albany,1084
White,2011,22618,Bronx,1140
White,2011,25080,Broome,1057
White,2011,20955,Cattaraugus,894
White,2011,25369,Cayuga,1363
White,2011,21365,Chautauqua,887
White,2011,28287,Chemung,2755
White,2011,25630,Clinton,1569
White,2011,34330,Dutchess,1469
White,2011,29749,Erie,776
White,2011,22731,Jefferson,1247
White,2011,30034,Kings,700
White,2011,23384,Livingston,1102
White,2011,25004,Madison,1646
White,2011,31040,Monroe,1070
White,2011,45676,Nassau,1111
White,2011,83602,New York,3218
White,2011,26290,Niagara,1255
White,2011,26746,Oneida,1135
White,2011,30047,Onondaga,728
White,2011,29867,Ontario,1422
White,2011,31710,Orange,1605
White,2011,21625,Oswego,1129
White,2011,40210,Putnam,2344
White,2011,29960,Queens,688
White,2011,30416,Rensselaer,1481
White,2011,32697,Richmond,1163
White,2011,35187,Rockland,1789
White,2011,21611,St. Lawrence,1065
White,2011,33908,Saratoga,1508
White,2011,30281,Schenectady,1446
White,2011,23565,Steuben,1097
White,2011,38102,Suffolk,820
White,2011,24378,Sullivan,1856
White,2011,28951,Tompkins,2460
White,2011,29638,Ulster,1478
White,2011,28510,Warren,1835
White,2011,26772,Wayne,3178
White,2011,55336,Westchester,2079
All,2011,30154,Albany,883
All,2011,16879,Bronx,361
All,2011,23667,Broome,926
All,2011,20950,Cattaraugus,1084
All,2011,24139,Cayuga,1267
All,2011,20693,Chautauqua,859
All,2011,26467,Chemung,2636
All,2011,24050,Clinton,1472
All,2011,31667,Dutchess,1228
All,2011,26817,Erie,699
All,2011,21908,Jefferson,1146
All,2011,23577,Kings,395
All,2011,22218,Livingston,1051
All,2011,24653,Madison,1667
All,2011,27165,Monroe,868
All,2011,40351,Nassau,855
All,2011,59398,New York,1851
All,2011,24856,Niagara,1162
All,2011,24872,Oneida,1032
All,2011,27216,Onondaga,647
All,2011,28536,Ontario,1346
All,2011,29089,Orange,1254
All,2011,21161,Oswego,1179
All,2011,39611,Putnam,2483
All,2011,25088,Queens,401
All,2011,28615,Rensselaer,1267
All,2011,30274,Richmond,1018
All,2011,33209,Rockland,1419
All,2011,21169,St. Lawrence,1057
All,2011,33413,Saratoga,1445
All,2011,27153,Schenectady,1285
All,2011,23238,Steuben,1019
All,2011,35049,Suffolk,682
All,2011,23751,Sullivan,2308
All,2011,26435,Tompkins,2093
All,2011,27797,Ulster,1447
All,2011,27902,Warren,1798
All,2011,26010,Wayne,2971
All,2011,45450,Westchester,1422
Asian,2011,21435,Albany,4528
Asian,2011,19202,Bronx,2352
Asian,2011,15764,Broome,4223
Asian,2011,0,Cattaraugus,0
Asian,2011,0,Cayuga,0
Asian,2011,38304,Chautauqua,32887
Asian,2011,12623,Chemung,7614
Asian,2011,10970,Clinton,5607
Asian,2011,35358,Dutchess,7273
Asian,2011,25282,Erie,7711
Asian,2011,35625,Jefferson,21707
Asian,2011,20523,Kings,1307
Asian,2011,2528,Livingston,1811
Asian,2011,31769,Madison,22775
Asian,2011,22339,Monroe,3533
Asian,2011,38148,Nassau,2702
Asian,2011,48872,New York,4675
Asian,2011,19005,Niagara,14111
Asian,2011,20473,Oneida,8904
Asian,2011,20901,Onondaga,4924
Asian,2011,22474,Ontario,24912
Asian,2011,33970,Orange,6638
Asian,2011,29515,Oswego,32589
Asian,2011,53751,Putnam,37148
Asian,2011,22264,Queens,995
Asian,2011,16553,Rensselaer,7734
Asian,2011,26968,Richmond,3277
Asian,2011,42731,Rockland,6483
Asian,2011,49995,St. Lawrence,35202
Asian,2011,42935,Saratoga,17312
Asian,2011,25016,Schenectady,7855
Asian,2011,21615,Steuben,14453
Asian,2011,30704,Suffolk,3759
Asian,2011,28180,Sullivan,20360
Asian,2011,15869,Tompkins,5049
Asian,2011,25363,Ulster,24473
Asian,2011,19016,Warren,14002
Asian,2011,17932,Wayne,6661
Asian,2011,48673,Westchester,6036
Mixed,2011,14752,Albany,4418
Mixed,2011,12364,Bronx,1819
Mixed,2011,8278,Broome,3822
Mixed,2011,8305,Cattaraugus,4284
Mixed,2011,9853,Cayuga,7546
Mixed,2011,3169,Chautauqua,1888
Mixed,2011,21200,Chemung,18640
Mixed,2011,0,Clinton,0
Mixed,2011,20859,Dutchess,6382
Mixed,2011,12033,Erie,2814
Mixed,2011,7099,Jefferson,2719
Mixed,2011,23300,Kings,4150
Mixed,2011,7927,Livingston,4946
Mixed,2011,16051,Madison,8127
Mixed,2011,14967,Monroe,4138
Mixed,2011,17899,Nassau,2468
Mixed,2011,29553,New York,5502
Mixed,2011,6934,Niagara,2710
Mixed,2011,4414,Oneida,1349
Mixed,2011,12099,Onondaga,3106
Mixed,2011,11588,Ontario,3975
Mixed,2011,14354,Orange,3589
Mixed,2011,3972,Oswego,2901
Mixed,2011,8901,Putnam,4662
Mixed,2011,20694,Queens,2915
Mixed,2011,10859,Rensselaer,4268
Mixed,2011,18123,Richmond,4053
Mixed,2011,32495,Rockland,15973
Mixed,2011,7057,St. Lawrence,3183
Mixed,2011,9305,Saratoga,2052
Mixed,2011,16813,Schenectady,6362
Mixed,2011,21557,Steuben,16285
Mixed,2011,16852,Suffolk,3209
Mixed,2011,6664,Sullivan,2717
Mixed,2011,10230,Tompkins,5880
Mixed,2011,9927,Ulster,3797
Mixed,2011,3050,Warren,2593
Mixed,2011,13953,Wayne,10052
Mixed,2011,18422,Westchester,4246
Black,2011,16594,Albany,2472
Black,2011,17373,Bronx,680
Black,2011,12073,Broome,3641
Black,2011,18802,Cattaraugus,10776
Black,2011,7989,Cayuga,4549
Black,2011,13071,Chautauqua,6609
Black,2011,7614,Chemung,8487
Black,2011,2548,Clinton,2087
Black,2011,22212,Dutchess,2859
Black,2011,14043,Erie,764
Black,2011,18007,Jefferson,5920
Black,2011,19262,Kings,476
Black,2011,9915,Livingston,4860
Black,2011,0,Madison,0
Black,2011,13692,Monroe,879
Black,2011,26589,Nassau,1129
Black,2011,25235,New York,2266
Black,2011,13590,Niagara,2304
Black,2011,13454,Oneida,3814
Black,2011,13417,Onondaga,1109
Black,2011,4332,Ontario,2170
Black,2011,23918,Orange,2756
Black,2011,0,Oswego,0
Black,2011,50839,Putnam,15260
Black,2011,23254,Queens,709
Black,2011,15613,Rensselaer,3912
Black,2011,20809,Richmond,1914
Black,2011,28429,Rockland,3181
Black,2011,7706,St. Lawrence,7530
Black,2011,26346,Saratoga,8324
Black,2011,11410,Schenectady,2759
Black,2011,11195,Steuben,4567
Black,2011,23269,Suffolk,2208
Black,2011,29055,Sullivan,24330
Black,2011,15427,Tompkins,5098
Black,2011,14164,Ulster,2548
Black,2011,11499,Warren,6504
Black,2011,12803,Wayne,8901
Black,2011,25520,Westchester,1610
Latino,2011,16137,Albany,2032
Latino,2011,13448,Bronx,436
Latino,2011,11694,Broome,3612
Latino,2011,7872,Cattaraugus,2934
Latino,2011,14858,Cayuga,7528
Latino,2011,9994,Chautauqua,1980
Latino,2011,8185,Chemung,2725
Latino,2011,4819,Clinton,2663
Latino,2011,16387,Dutchess,1986
Latino,2011,13369,Erie,1786
Latino,2011,14115,Jefferson,2758
Latino,2011,15675,Kings,671
Latino,2011,7575,Livingston,4208
Latino,2011,17948,Madison,13787
Latino,2011,12965,Monroe,1266
Latino,2011,22063,Nassau,1239
Latino,2011,20372,New York,1492
Latino,2011,17143,Niagara,8936
