id,Geographic Area Name,Total population,Margin of Error Total population,White Percentage,Margin of Error White Percentage,Black Percentage,Margin of Error Black Percentage,Native Percentage,Margin of Error Native Percentage,Asian Percentage,Margin of Error Asian Percentage,Islander Percentage,Margin of Error Islander Percentage,Other Percentage,Margin of Error Other Percentage,Mixed Percentage,Margin of Error Mixed Percentage,Latino Total Percentage,Margin of Error Latino Total Percentage,White Alone Percentage,Margin of Error White Alone Percentage,Mean Income Total,Margin of Error Mean Income Total,Mean Income White,Margin of Error Mean Income White,Mean Income Black,Margin of Error Mean Income Black,Mean Income Native,Margin of Error Mean Income Native,Mean Income Asian,Margin of Error Mean Income Asian,Mean Income Islander,Margin of Error Mean Income Islander,Mean Income Other,Margin of Error Mean Income Other,Mean Income Mixed,Margin of Error Mean Income Mixed,Mean Income Latino Total,Margin of Error Mean Income Latino Total,Mean Income White Alone,Margin of Error Mean Income White Alone
0500000US36045,Jefferson,117910,*****,87,1.3,5.2,0.7,0.4,0.3,1.6,0.3,0.2,0.2,2.2,1,3.5,0.9,6.1,*****,83.7,0.8,21908,1146,22731,1247,18007,5920,8642,3983,35625,21707,N,N,14793,5197,7099,2719,14115,2758,23020,1298
0500000US36047,Kings,2532645,*****,43.7,0.4,34,0.3,0.3,0.1,10.6,0.1,0.1,0.1,9.4,0.5,1.9,0.2,20,*****,35.6,0.1,23577,395,30034,700,19262,476,16874,3592,20523,1307,N,N,12836,671,23300,4150,15675,671,32834,762
0500000US36051,Livingston,65070,*****,93,0.4,2.8,0.8,0.1,0.2,1.5,0.3,0.1,0.1,0.8,0.7,1.6,0.6,2.9,*****,91.8,0.2,22218,1051,23384,1102,9915,4860,N,N,2528,1811,N,N,N,N,7927,4946,7575,4208,23490,1089
0500000US36053,Madison,73365,*****,94.2,0.6,1.2,0.6,1.4,0.9,0.6,0.4,0,0.1,0.3,0.3,2.3,0.9,2,*****,93.4,0.2,24653,1667,25004,1646,N,N,26107,13859,31769,22775,N,N,N,N,16051,8127,17948,13787,25102,1628
0500000US36055,Monroe,745625,*****,76.2,0.5,15.2,0.3,0.2,0.1,3.3,0.2,0,0.1,2.4,0.5,2.7,0.4,7.5,*****,72.4,0.3,27165,868,31040,1070,13692,879,8259,5522,22339,3533,N,N,11725,2496,14967,4138,12965,1266,31918,1140
0500000US36059,Nassau,1344436,*****,71.5,0.6,11.2,0.3,0.2,0.1,7.8,0.2,0,0.1,6.9,0.6,2.4,0.4,15,*****,64.6,0.1,40351,855,45676,1111,26589,1129,11835,5847,38148,2702,N,N,18633,1746,17899,2468,22063,1239,47608,1171
0500000US36061,New York,1601948,*****,56.1,0.7,14.9,0.4,0.3,0.1,11,0.2,0.1,0.1,13.5,0.7,4.1,0.4,25.6,*****,47.6,0.1,59398,1851,83602,3218,25235,2266,15551,7004,48872,4675,N,N,15229,1442,29553,5502,20372,1492,92978,3594
0500000US36063,Niagara,216011,*****,88.4,0.4,7.6,0.4,1.1,0.2,1.1,0.2,0,0.1,0.4,0.3,1.4,0.5,2.3,*****,87,0.1,24856,1162,26290,1255,13590,2304,19382,4664,19005,14111,N,N,14614,6289,6934,2710,17143,8936,26418,1233
0500000US36065,Oneida,234287,*****,86.6,0.5,5.5,0.5,0.3,0.1,3.2,0.2,0,0.1,1.5,0.5,3,0.6,4.8,*****,84.5,0.1,24872,1032,26746,1135,13454,3814,12107,6327,20473,8904,N,N,10888,4457,4414,1349,7413,1744,27213,1165
0500000US36067,Onondaga,466960,*****,81.5,0.3,10.8,0.5,0.6,0.1,3.2,0.2,0,0.1,0.8,0.3,3.1,0.5,4.3,*****,78.9,0.1,27216,647,30047,728,13417,1109,20254,9580,20901,4924,N,N,13320,5510,12099,3106,14080,2435,30557,753
0500000US36069,Ontario,108525,*****,92.9,0.7,2.2,0.7,0,0.1,1.1,0.4,0,0.1,1.7,0.8,2.1,0.8,3.7,*****,91.2,0.2,28536,1346,29867,1422,4332,2170,N,N,22474,24912,N,N,11810,6717,11588,3975,13983,6313,30083,1452
0500000US36071,Orange,374872,*****,74.9,1.3,9.7,0.6,0.4,0.3,2.5,0.2,0,0.1,9,1.3,3.5,0.7,18.5,*****,67.4,0.1,29089,1254,31710,1605,23918,2756,13422,4667,33970,6638,N,N,17783,2338,14354,3589,18765,1403,32773,1708
0500000US36075,Oswego,122228,*****,95.9,0.5,1.1,0.2,0.5,0.2,0.3,0.3,0,0.1,0.7,0.7,1.4,0.5,2.2,*****,94.8,0.1,21161,1179,21625,1129,N,N,7850,4536,29515,32589,N,N,2140,1805,3972,2901,9892,5467,21697,1146
0500000US36079,Putnam,99933,*****,89.5,1.6,1.7,0.6,0,0.1,1.9,0.4,0,0.2,3.9,1.6,3,1,12,*****,82.2,0.5,39611,2483,40210,2344,50839,15260,N,N,53751,37148,N,N,37707,23928,8901,4662,25510,7592,41865,2534
0500000US36081,Queens,2247848,*****,41.7,0.5,19,0.3,0.3,0.1,23.2,0.3,0.1,0.1,12.2,0.6,3.6,0.3,27.8,*****,27.3,0.1,25088,401,29960,688,23254,709,21389,6534,22264,995,29516,15442,17980,890,20694,2915,18624,620,35535,872
0500000US36083,Rensselaer,159395,*****,88,0.5,5.8,0.6,0.2,0.3,2,0.4,0,0.1,0.6,0.3,3.3,0.7,4.1,*****,85.2,0.1,28615,1267,30416,1481,15613,3912,N,N,16553,7734,N,N,21081,9474,10859,4268,22315,5591,30699,1486
0500000US36085,Richmond,470467,*****,76.8,0.9,11.1,0.5,0.1,0.1,7.9,0.2,0,0.1,2.7,0.8,1.5,0.4,17.6,*****,63.6,0.1,30274,1018,32697,1163,20809,1914,N,N,26968,3277,N,N,16656,3155,18123,4053,23002,2025,34265,1187
0500000US36087,Rockland,315158,*****,70.2,0.9,12.3,0.5,0.3,0.2,6.6,0.2,0,0.1,8.6,1.1,2,0.6,16.1,*****,64.4,0.3,33209,1419,35187,1789,28429,3181,28400,11179,42731,6483,N,N,16950,3418,32495,15973,20022,2513,36242,1798
0500000US36089,St. Lawrence,111690,*****,93.5,0.4,1.9,0.4,0.9,0.4,0.8,0.2,0.2,0.2,0.8,0.5,2,0.5,2,*****,92.6,0.1,21169,1057,21611,1065,7706,7530,19200,6691,49995,35202,N,N,N,N,7057,3183,12316,4619,21627,1070
0500000US36091,Saratoga,220882,*****,94.1,0.4,1.7,0.4,0,0.1,1.9,0.3,0,0.1,0.2,0.2,2,0.4,2.6,*****,92.3,0.1,33413,1445,33908,1508,26346,8324,N,N,42935,17312,N,N,N,N,9305,2052,20564,4974,34135,1504
0500000US36093,Schenectady,155058,*****,80.5,0.9,9.5,1.6,0.1,0.1,3.4,0.6,0,0.1,2.6,1.6,3.9,1.1,6,*****,76.9,0.3,27153,1285,30281,1446,11410,2759,N,N,25016,7855,N,N,6901,3947,16813,6362,9664,1960,31291,1457
0500000US36101,Steuben,99033,*****,94.8,0.3,1.9,0.2,0.4,0.3,1.5,0.1,0,0.2,0.7,0.3,0.6,0.4,1.5,*****,94,0.1,23238,1019,23565,1097,11195,4567,33696,10231,21615,14453,N,N,11567,9223,21557,16285,12786,5489,23632,1116
0500000US36103,Suffolk,1498816,*****,81,0.7,7.5,0.2,0.2,0.1,3.4,0.3,0,0.1,5.8,0.7,2.1,0.4,17,*****,70.8,0.1,35049,682,38102,820,23269,2208,28170,8064,30704,3759,N,N,16704,1593,16852,3209,20822,943,40207,884
0500000US36105,Sullivan,76900,*****,79.5,2.1,8,1.3,0.1,0.1,1.8,0.1,0,0.2,7.6,2.1,2.9,1.3,13.9,*****,74.2,0.2,23751,2308,24378,1856,29055,24330,N,N,28180,20360,N,N,16914,4230,6664,2717,17101,3002,24822,1847
0500000US36109,Tompkins,101723,*****,82.1,0.5,4.3,0.5,0.2,0.2,9.6,0.7,0,0.1,1.2,0.5,2.7,0.8,4.6,*****,78.6,0.2,26435,2093,28951,2460,15427,5098,N,N,15869,5049,N,N,13743,8767,10230,5880,20324,10333,29141,2370
0500000US36111,Ulster,182448,*****,87.6,1,5.8,0.5,0.1,0.1,1.7,0.3,0,0.1,1.6,0.8,3.2,0.7,9,*****,81.4,0.1,27797,1447,29638,1478,14164,2548,N,N,25363,24473,N,N,14322,7011,9927,3797,14577,2725,30657,1528
0500000US36113,Warren,65831,*****,96.5,0.3,1.6,0.5,0.2,0.1,0.4,0.3,0,0.2,0.2,0.2,1.2,0.5,1.9,*****,94.9,0.2,27902,1798,28510,1835,11499,6504,N,N,19016,14002,N,N,N,N,3050,2593,22836,7394,28632,1866
0500000US36117,Wayne,93436,*****,93.7,0.6,3.8,0.7,0.2,0.2,0.6,0.2,0,0.2,0.5,0.5,1.1,0.6,3.9,*****,90.6,0.2,26010,2971,26772,3178,12803,8901,N,N,17932,6661,N,N,21477,12451,13953,10052,14867,3207,27128,3272
0500000US36119,Westchester,955899,*****,66.6,0.8,14.7,0.5,0.1,0.1,5.5,0.1,0,0.1,9.7,0.8,3.3,0.6,22.4,*****,56.6,0.1,45450,1422,55336,2079,25520,1610,21341,8830,48673,6036,N,N,15492,1353,18422,4246,20159,1493,60618,2188
