id,Geographic Area Name,Total population,Margin of Error Total population,White Percentage,Margin of Error White Percentage,Black Percentage,Margin of Error Black Percentage,Native Percentage,Margin of Error Native Percentage,Asian Percentage,Margin of Error Asian Percentage,Islander Percentage,Margin of Error Islander Percentage,Other Percentage,Margin of Error Other Percentage,Mixed Percentage,Margin of Error Mixed Percentage,Latino Total Percentage,Margin of Error Latino Total Percentage,White Alone Percentage,Margin of Error White Alone Percentage,Mean Income Total,Margin of Error Mean Income Total,Mean Income White,Margin of Error Mean Income White,Mean Income Black,Margin of Error Mean Income Black,Mean Income Native,Margin of Error Mean Income Native,Mean Income Asian,Margin of Error Mean Income Asian,Mean Income Islander,Margin of Error Mean Income Islander,Mean Income Other,Margin of Error Mean Income Other,Mean Income Mixed,Margin of Error Mean Income Mixed,Mean Income Latino Total,Margin of Error Mean Income Latino Total,Mean Income White Alone,Margin of Error Mean Income White Alone
0500000US36001,Albany,303565,*****,77.3,0.6,12.6,0.8,0.3,0.1,5.1,0.3,0,0.1,1.6,0.7,3.2,0.7,5.2,*****,75.5,0.1,30154,883,33844,1084,16594,2472,25676,12993,21435,4528,N,N,17516,4587,14752,4418,16137,2032,34190,1066
0500000US36005,Bronx,1392002,*****,22.6,0.8,34.1,0.6,0.5,0.1,3.5,0.2,0.1,0.1,35.7,0.9,3.6,0.4,53.8,*****,11.1,0.1,16879,361,22618,1140,17373,680,14140,4837,19202,2352,6095,3068,13053,527,12364,1819,13448,436,30097,1714
0500000US36007,Broome,199031,*****,88.8,0.3,4.6,0.5,0.4,0.2,3.8,0.2,0,0.1,0.3,0.2,2.1,0.5,3.5,*****,86,0.1,23667,926,25080,1057,12073,3641,16181,6351,15764,4223,N,N,2216,1500,8278,3822,11694,3612,25451,1104
0500000US36009,Cattaraugus,79832,*****,92.8,0.3,0.8,0.4,4.2,0.6,0.4,0.3,0,0.2,0.2,0.3,1.5,0.6,1.8,*****,91.6,0.2,20950,1084,20955,894,18802,10776,13066,3656,N,N,N,N,N,N,8305,4284,7872,2934,21145,912
0500000US36011,Cayuga,79738,*****,92.5,0.5,4.5,0.9,0.2,0.2,0.2,0.2,0,0.2,0.5,0.3,2.1,0.8,2.5,*****,91,0.2,24139,1267,25369,1363,7989,4549,10891,6442,N,N,N,N,2064,1494,9853,7546,14858,7528,25436,1387
0500000US36013,Chautauqua,134368,*****,92.9,0.9,2.3,0.5,0.6,0.2,0.7,0.1,0,0.1,1.8,0.8,1.6,0.5,6.3,*****,88.9,0.1,20693,859,21365,887,13071,6609,11621,8961,38304,32887,N,N,7022,3568,3169,1888,9994,1980,21760,928
0500000US36015,Chemung,88840,*****,89.6,0.1,6.7,1.3,0.1,0.1,1.6,0.2,0,0.2,0.1,0.1,1.9,1.3,2.7,*****,87,0.1,26467,2636,28287,2755,7614,8487,N,N,12623,7614,N,N,N,N,21200,18640,8185,2725,28875,2819
0500000US36019,Clinton,81945,*****,92.1,0.5,4.5,0.4,0.6,0.1,0.6,0.3,0,0.2,1.1,0.3,1.1,0.5,3.4,0.3,90.8,0.2,24050,1472,25630,1569,2548,2087,N,N,10970,5607,N,N,N,N,N,N,4819,2663,25888,1572
0500000US36027,Dutchess,297999,*****,78.3,0.8,9.7,0.5,0.2,0.1,4,0.2,0,0.1,5.1,0.9,2.7,0.8,10.8,*****,73.9,0.4,31667,1228,34330,1469,22212,2859,25347,19192,35358,7273,N,N,11955,2216,20859,6382,16387,1986,35115,1547
0500000US36029,Erie,918028,*****,79.7,0.4,12.9,0.3,0.5,0.1,2.7,0.1,0,0.1,1.7,0.3,2.5,0.4,4.7,*****,77.3,0.1,26817,699,29749,776,14043,764,23618,6043,25282,7711,N,N,11555,2311,12033,2814,13369,1786,30198,808
