id,Geographic Area Name,Total population,Margin of Error Total population,White Percentage,Margin of Error White Percentage,Black Percentage,Margin of Error Black Percentage,Native Percentage,Margin of Error Native Percentage,Asian Percentage,Margin of Error Asian Percentage,Islander Percentage,Margin of Error Islander Percentage,Other Percentage,Margin of Error Other Percentage,Mixed Percentage,Margin of Error Mixed Percentage,Latino Total Percentage,Margin of Error Latino Total Percentage,White Alone Percentage,Margin of Error White Alone Percentage,Mean Income Total,Margin of Error Mean Income Total,Mean Income White,Margin of Error Mean Income White,Mean Income Black,Margin of Error Mean Income Black,Mean Income Native,Margin of Error Mean Income Native,Mean Income Asian,Margin of Error Mean Income Asian,Mean Income Islander,Margin of Error Mean Income Islander,Mean Income Other,Margin of Error Mean Income Other,Mean Income Mixed,Margin of Error Mean Income Mixed,Mean Income Latino Total,Margin of Error Mean Income Latino Total,Mean Income White Alone,Margin of Error Mean Income White Alone
0500000US36001,Albany,309381,*****,76.6,0.6,11.9,0.7,0.2,0.1,6.3,0.2,0.1,0.1,1.3,0.5,3.5,0.8,5.9,*****,73,0.1,33551,1555,37346,1390,21253,9038,11144,4164,26624,4698,N,N,13386,6127,14473,3499,16345,2337,38238,1448
0500000US36005,Bronx,1455444,*****,20.4,0.6,32.7,0.5,0.6,0.2,3.7,0.2,0,0.1,39,0.8,3.6,0.5,55.1,*****,10,0.1,18880,441,26372,1606,19573,802,15839,3495,20849,2190,N,N,14153,662,19823,3270,15473,522,33792,2438
0500000US36007,Broome,196567,*****,86.1,0.5,5.8,0.6,0.2,0.1,4.3,0.5,0.1,0.1,0.9,0.4,2.8,0.7,4,*****,83.9,0.1,25783,1122,27389,1146,17548,4937,13278,8438,19315,6465,N,N,13952,6633,7997,3756,18387,6745,27477,1166
0500000US36009,Cattaraugus,77922,*****,91.8,0.6,1.8,0.5,2.9,0.6,1,0.1,0,0.2,0.7,0.3,1.9,0.7,2.1,*****,90.6,0.1,21270,945,22039,945,13970,12942,13642,3806,18528,12809,N,N,N,N,9496,4306,6127,2918,22225,954
0500000US36011,Cayuga,78288,*****,92.3,0.6,4.7,1,0.1,0.1,0.3,0.2,0,0.2,0.5,0.6,2.1,1,3,*****,90.2,0.1,27232,1606,28866,1692,5964,2859,13181,5188,47249,21067,N,N,N,N,N,N,14907,7962,29111,1693
0500000US36013,Chautauqua,130779,*****,93,0.7,2.5,0.5,0.6,0.3,0.6,0.1,0.1,0.1,1.6,0.7,1.6,0.6,7.2,*****,87.6,0.2,23578,1159,24460,1225,12265,4529,8510,5751,23340,17616,16540,6756,14541,6256,4876,2999,11708,2978,25248,1256
0500000US36015,Chemung,87071,*****,88,0.8,7.6,1,0.2,0.2,1.1,0.4,0,0.1,0.7,0.7,2.4,0.9,3,*****,86.2,0.1,26372,1851,28099,1951,12405,4000,N,N,29946,15591,N,N,N,N,10502,4084,8172,4453,28572,1991
0500000US36019,Clinton,81251,*****,91.7,0.4,4.7,0.7,0.1,0.1,1.6,0.3,0,0.1,0.8,0.4,1.1,0.8,N,N,N,N,22553,1091,23497,1190,8832,6137,N,N,27668,10587,N,N,N,N,8680,4320,N,N,N,N
0500000US36027,Dutchess,295754,*****,77.2,0.9,10.6,0.6,0.3,0.1,3.9,0.3,0.1,0.1,5,1,3,0.6,11.8,*****,71.9,0.1,34269,1251,36974,1559,22589,3019,N,N,47883,8183,N,N,19017,3143,11598,4174,20195,1757,37891,1679
0500000US36029,Erie,922578,*****,77.9,0.4,13.7,0.2,0.5,0.2,3.5,0.2,0,0.1,2.5,0.4,2,0.3,5.2,*****,75.7,0.2,29594,675,33253,856,16747,1078,12962,3424,22335,4006,N,N,12989,2932,12595,3306,16045,1765,33613,847
0500000US36045,Jefferson,117635,*****,86.2,0.8,6.7,0.9,0.5,0.2,2,0.4,0.2,0.2,1,0.3,3.6,1,7.3,*****,81.9,0.1,23872,1039,25048,1166,15350,3659,24449,14415,21940,13042,N,N,16926,8333,14554,7467,15612,3361,25404,1150
0500000US36047,Kings,2636735,*****,43.4,0.4,32.7,0.3,0.4,0.1,12.1,0.1,0,0.1,8.9,0.4,2.6,0.2,19.5,*****,35.7,0.1,28898,454,37631,1009,22346,554,18809,7123,25016,1169,N,N,17465,1701,24114,3517,18971,895,41081,1090
0500000US36051,Livingston,64717,*****,93.2,0.9,1.3,0.4,0.1,0.2,1.5,0.2,0,0.2,1.1,0.9,2.9,0.6,3.7,*****,90.6,0.2,25288,1553,26411,1644,N,N,N,N,18092,14782,N,N,N,N,N,N,10783,6270,26858,1598
0500000US36053,Madison,71849,*****,94.8,0.3,2.8,0.8,0,0.1,0.7,0.3,0,0.2,0.1,0.2,1.6,0.8,2.1,*****,93.2,0.1,27551,1881,28176,1798,17356,12022,N,N,N,N,N,N,N,N,N,N,N,N,28150,1718
0500000US36055,Monroe,749600,*****,76.1,0.4,15.7,0.4,0.5,0.1,3.9,0.2,0,0.1,1.4,0.4,2.3,0.4,8.3,*****,70.9,0.1,30073,557,34078,766,15323,858,17635,4965,27570,4524,N,N,18293,3512,12935,2811,15072,1379,35384,793
0500000US36059,Nassau,1361350,*****,68.7,0.6,11.8,0.3,0.2,0.1,9.2,0.2,0,0.1,7.1,0.7,3,0.5,16.5,*****,61.1,0.2,44358,795,50722,1264,31139,2068,24865,9395,41544,2718,N,N,19117,1881,20009,2288,23158,1196,53502,1332
0500000US36061,New York,1644518,*****,56.4,0.7,14.7,0.5,0.3,0.1,12.2,0.2,0,0.1,11.8,0.9,4.4,0.5,26,*****,46.5,0.1,67255,2102,92081,3342,26593,2083,30797,9818,59775,5379,15458,8997,20896,4934,34360,5782,23647,1536,104388,3738
0500000US36063,Niagara,212652,*****,87.1,0.4,7.1,0.6,0.7,0.3,1.3,0.1,0,0.1,1,0.4,2.8,0.7,2.8,*****,85.8,0.3,27529,1150,29468,1311,13886,2680,16512,8755,30832,17136,N,N,13167,6560,8091,2761,11583,2620,29663,1330
0500000US36065,Oneida,232500,*****,84.9,0.6,5.5,0.5,0.3,0.1,4,0.2,0.2,0.3,2,0.6,3.1,0.6,5.5,*****,82.3,0.1,27216,1744,29028,1958,16056,3919,26492,11392,29077,17506,N,N,8885,2320,8629,3544,9180,1374,29601,1987
0500000US36067,Onondaga,468463,*****,80.1,0.3,11.1,0.6,0.6,0.1,3.7,0.3,0,0.1,1,0.3,3.4,0.6,4.8,*****,77,0.2,30691,885,33471,967,18328,2751,35625,14679,27803,8616,N,N,12916,3510,13314,2624,19809,4981,34091,1022
0500000US36069,Ontario,109561,*****,93.3,0.6,3.3,0.7,0,0.1,1.6,0.1,0.1,0.1,1,0.7,0.8,0.5,4.4,*****,90.2,0.2,33987,3355,35257,3554,14959,6850,N,N,22316,13773,N,N,14910,7300,12783,4562,12025,2692,36015,3681
0500000US36071,Orange,377647,*****,73.6,1.3,10.8,0.7,0.4,0.1,2.5,0.2,0,0.1,10,1.3,2.8,0.7,19.8,*****,64.9,0.7,31609,999,34078,1296,25286,2846,40163,29737,46027,13925,N,N,20078,2315,17886,5203,20973,1245,35622,1373
