id,Geographic Area Name,Total population,Margin of Error Total population,White Percentage,Margin of Error White Percentage,Black Percentage,Margin of Error Black Percentage,Native Percentage,Margin of Error Native Percentage,Asian Percentage,Margin of Error Asian Percentage,Islander Percentage,Margin of Error Islander Percentage,Other Percentage,Margin of Error Other Percentage,Mixed Percentage,Margin of Error Mixed Percentage,Latino Total Percentage,Margin of Error Latino Total Percentage,White Alone Percentage,Margin of Error White Alone Percentage,Mean Income Total,Margin of Error Mean Income Total,Mean Income White,Margin of Error Mean Income White,Mean Income Black,Margin of Error Mean Income Black,Mean Income Native,Margin of Error Mean Income Native,Mean Income Asian,Margin of Error Mean Income Asian,Mean Income Islander,Margin of Error Mean Income Islander,Mean Income Other,Margin of Error Mean Income Other,Mean Income Mixed,Margin of Error Mean Income Mixed,Mean Income Latino Total,Margin of Error Mean Income Latino Total,Mean Income White Alone,Margin of Error Mean Income White Alone
0500000US36001,Albany,308846,*****,74.7,0.7,12.4,0.7,0.3,0.2,6.8,0.3,0,0.1,1.8,0.5,4,0.8,5.8,*****,72.1,0.4,34857,1418,38827,1496,20046,2681,20542,12585,34499,8941,N,N,16646,5030,16286,6226,22701,4570,39063,1526
0500000US36005,Bronx,1455720,*****,21.5,0.9,34,0.6,0.6,0.2,3.6,0.2,0,0.1,36.3,1,4,0.5,56,*****,9,0.1,19369,464,25512,1270,20323,773,13002,3498,21650,2536,N,N,15009,696,16624,3666,16003,514,35214,2157
0500000US36007,Broome,195334,*****,85.3,0.5,6.5,0.8,0,0.1,3.6,0.6,0,0.1,1,0.5,3.7,0.8,4.1,*****,83.6,0.1,27373,1427,30001,1592,12602,3056,N,N,15463,4282,N,N,12379,7817,8150,2348,11959,3274,30304,1626
0500000US36009,Cattaraugus,77677,*****,91.8,0.4,1.5,0.4,3.4,0.4,0.7,0.3,0,0.2,0.5,0.3,2.2,0.6,2,*****,90.7,0.1,23841,972,24639,975,7093,7256,14485,3052,N,N,N,N,25266,19293,11167,4502,12085,5795,24825,984
0500000US36011,Cayuga,77861,*****,92.1,0.6,4.2,0.7,0.2,0.1,0.5,0.5,0,0.2,0.7,0.5,2.3,0.8,2.9,*****,90.2,0.1,28023,1558,29557,1668,9068,4201,N,N,30367,24573,N,N,N,N,4722,3053,11995,5990,29928,1688
0500000US36013,Chautauqua,129504,*****,92.7,0.9,2.9,0.4,0.3,0.1,0.6,0.3,0,0.1,1.6,0.8,2,0.7,7.5,*****,87.5,0.1,23049,1153,24116,1269,7714,2599,31740,11863,14943,12460,N,N,11323,3733,6662,4308,9798,1150,24985,1311
0500000US36015,Chemung,86322,*****,87.9,0.6,5.6,1,0.2,0.3,1.8,0.1,0,0.1,0.9,0.6,3.6,1.1,3,*****,86.2,0.3,27636,1977,28273,2041,13992,6448,N,N,70821,36933,N,N,16523,11352,10954,7604,14262,6757,28528,2038
0500000US36019,Clinton,81073,*****,90.2,0.8,4.8,0.4,0.1,0.2,1.2,0.4,0,0.2,2.2,0.9,1.5,0.7,2.9,*****,89.4,0.8,25278,1549,26865,1594,N,N,N,N,23496,7667,N,N,15212,9275,N,N,14451,7560,26878,1642
0500000US36027,Dutchess,294473,*****,79,1.1,10.7,0.7,0.3,0.1,3.6,0.3,0.1,0.2,3.1,1,3.1,0.8,12,*****,71.3,0.5,37559,1476,40813,1773,23316,3571,25245,14150,38446,10645,N,N,27452,11718,14869,6334,26675,3548,42065,1780
0500000US36029,Erie,921046,*****,78.1,0.4,13.3,0.3,0.5,0.1,3.7,0.1,0,0.1,2,0.4,2.3,0.4,5.3,*****,75.8,0.1,31450,795,35139,973,18107,1438,15095,2936,27041,4274,N,N,10848,1888,13166,3188,14920,2287,35639,981
