id,Geographic Area Name,Total population,Margin of Error Total population,White Percentage,Margin of Error White Percentage,Black Percentage,Margin of Error Black Percentage,Native Percentage,Margin of Error Native Percentage,Asian Percentage,Margin of Error Asian Percentage,Islander Percentage,Margin of Error Islander Percentage,Other Percentage,Margin of Error Other Percentage,Mixed Percentage,Margin of Error Mixed Percentage,Latino Total Percentage,Margin of Error Latino Total Percentage,White Alone Percentage,Margin of Error White Alone Percentage,Mean Income Total,Margin of Error Mean Income Total,Mean Income White,Margin of Error Mean Income White,Mean Income Black,Margin of Error Mean Income Black,Mean Income Native,Margin of Error Mean Income Native,Mean Income Asian,Margin of Error Mean Income Asian,Mean Income Islander,Margin of Error Mean Income Islander,Mean Income Other,Margin of Error Mean Income Other,Mean Income Mixed,Margin of Error Mean Income Mixed,Mean Income Latino Total,Margin of Error Mean Income Latino Total,Mean Income White Alone,Margin of Error Mean Income White Alone
0500000US36001,Albany,309612,*****,74.9,0.7,12.7,0.7,0.2,0.1,6.8,0.4,0,0.1,1.4,0.7,4,0.9,6,*****,71.8,0.1,36974,1420,42340,1786,18009,2177,22445,14449,30714,6472,N,N,14846,4532,15751,4556,19236,3017,43131,1830
0500000US36005,Bronx,1471160,*****,22.3,0.9,35.2,0.7,0.9,0.3,3.9,0.1,0.1,0.1,34.4,1,3.3,0.4,56.2,*****,9.1,0.1,20497,593,28668,1616,20646,975,17897,5516,20037,2148,24888,15255,15071,775,21242,4742,17167,800,38774,2906
0500000US36007,Broome,193639,*****,85.6,0.6,5.8,0.5,0.2,0.2,4.6,0.5,0,0.1,0.7,0.5,3.2,0.7,4.3,*****,83.1,0.1,27117,2093,29249,2400,12421,2504,N,N,21589,7446,N,N,8423,8612,9202,3019,11033,4241,29694,2444
0500000US36009,Cattaraugus,77348,*****,92,0.4,1.4,0.4,3.1,0.3,1,0.2,0,0.2,0.3,0.3,2.2,0.5,2.1,*****,90.5,0.2,25111,1296,26256,1347,9393,7699,18644,8123,10680,5442,N,N,N,N,6056,2281,6034,2471,26572,1357
0500000US36011,Cayuga,77603,*****,91.4,0.5,3.7,1,0,0.1,0.5,0.4,0,0.2,0.7,0.3,3.6,1.2,3,*****,90.1,0.1,30178,1970,31996,2222,6638,4212,N,N,32621,7318,N,N,13500,7769,11098,4642,10532,3719,32288,2226
0500000US36013,Chautauqua,129046,*****,91.5,1,2.4,0.4,0.1,0.1,0.6,0.2,0,0.1,2.9,0.9,2.5,0.7,7.6,*****,87.3,0.1,25357,2005,26472,2192,8396,2828,N,N,48010,29770,N,N,12710,3910,10036,5343,12886,3068,27061,2262
0500000US36015,Chemung,85557,*****,87.6,0.6,7.4,1.1,0.1,0.1,2,0.2,0,0.2,0.8,0.5,2.2,0.9,3.1,*****,86.2,0.1,25348,1689,26569,1658,8853,4223,N,N,51994,27671,N,N,N,N,13828,5436,8253,4565,26853,1730
0500000US36019,Clinton,80980,*****,90.4,0.4,4.6,0.3,0.3,0.1,1.4,0.4,0.2,0.2,1.7,0.4,1.4,0.4,3,*****,89.4,0.2,28153,2362,30341,2629,5207,3615,N,N,17006,9931,N,N,6247,6174,5170,3835,7547,5095,30554,2655
0500000US36027,Dutchess,295568,*****,78.6,1,10.3,0.8,0.3,0.3,4,0.2,0,0.1,3.4,0.9,3.3,0.6,12.3,*****,71.2,0.2,38378,1361,41933,1725,23542,3156,N,N,40712,6152,N,N,17657,5702,20095,7400,23879,2704,43381,1865
0500000US36029,Erie,925528,*****,77.4,0.3,13.3,0.4,0.5,0.1,3.7,0.2,0,0.1,2.2,0.3,2.8,0.4,5.5,*****,75.3,0.1,31889,834,35302,905,20338,2185,23829,6395,26332,6559,N,N,18190,5846,11598,2889,16900,2595,35777,907
