"GEO_ID","NAME","S1902_C01_001E","S1902_C01_001M","S1902_C01_002E","S1902_C01_002M","S1902_C01_003E","S1902_C01_003M","S1902_C01_004E","S1902_C01_004M","S1902_C01_005E","S1902_C01_005M","S1902_C01_006E","S1902_C01_006M","S1902_C01_007E","S1902_C01_007M","S1902_C01_008E","S1902_C01_008M","S1902_C01_009E","S1902_C01_009M","S1902_C01_010E","S1902_C01_010M","S1902_C01_011E","S1902_C01_011M","S1902_C01_012E","S1902_C01_012M","S1902_C01_013E","S1902_C01_013M","S1902_C01_014E","S1902_C01_014M","S1902_C01_015E","S1902_C01_015M","S1902_C01_016E","S1902_C01_016M","S1902_C01_017E","S1902_C01_017M","S1902_C01_018E","S1902_C01_018M","S1902_C01_019E","S1902_C01_019M","S1902_C01_020E","S1902_C01_020M","S1902_C01_021E","S1902_C01_021M","S1902_C01_022E","S1902_C01_022M","S1902_C01_023E","S1902_C01_023M","S1902_C01_024E","S1902_C01_024M","S1902_C01_025E","S1902_C01_025M","S1902_C01_026E","S1902_C01_026M","S1902_C01_027E","S1902_C01_027M","S1902_C02_001E","S1902_C02_001M","S1902_C02_002E","S1902_C02_002M","S1902_C02_003E","S1902_C02_003M","S1902_C02_004E","S1902_C02_004M","S1902_C02_005E","S1902_C02_005M","S1902_C02_006E","S1902_C02_006M","S1902_C02_007E","S1902_C02_007M","S1902_C02_008E","S1902_C02_008M","S1902_C02_009E","S1902_C02_009M","S1902_C02_010E","S1902_C02_010M","S1902_C02_011E","S1902_C02_011M","S1902_C02_012E","S1902_C02_012M","S1902_C02_013E","S1902_C02_013M","S1902_C02_014E","S1902_C02_014M","S1902_C02_015E","S1902_C02_015M","S1902_C02_016E","S1902_C02_016M","S1902_C02_017E","S1902_C02_017M","S1902_C02_018E","S1902_C02_018M","S1902_C02_019E","S1902_C02_019M","S1902_C02_020E","S1902_C02_020M","S1902_C02_021E","S1902_C02_021M","S1902_C02_022E","S1902_C02_022M","S1902_C02_023E","S1902_C02_023M","S1902_C02_024E","S1902_C02_024M","S1902_C02_025E","S1902_C02_025M","S1902_C02_026E","S1902_C02_026M","S1902_C02_027E","S1902_C02_027M"
"0500000US26147","St. Clair County, Michigan","63571","1495","72.9","1.9","20.8","1.9","39.7","1.8","6.9","1.4","3.3","0.8","24.9","1.9","42727","1998","19.1","1.7","32.9","2.9","29.8","2.5","6.2","1.8","10.5","2.4","1.5","0.6","159875","*****","93.4","0.6","2","0.5","0.1","0.1","0.8","0.1","0","0.1","0.5","0.3","3.1","0.7","3.2","*****","91.2","0.2","30.2","(X)","30.4","(X)","22.9","(X)","65589","2395","66352","3137","10452","3199","19514","661","10428","1216","1923","478","20854","1541","76248","3079","45333","3910","59647","3998","97987","5917","73235","22842","122564","10353","87297","18477","26329","970","26929","1058","23231","8814","17123","5977","19922","12304","N","N","35946","20092","10885","3391","15288","3663","27199","1087","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US26155","Shiawassee County, Michigan","27036","837","72.1","2.7","18.6","2.7","38.6","2.7","4.4","1.4","2.1","1","29.4","2.5","18264","1028","19.2","2.5","31.7","4.2","32.2","3.7","5.9","1.7","8.7","2.4","2.3","1.6","68619","*****","96.1","0.7","0.4","0.3","0.5","0.4","0.5","0.2","0.1","0.1","0.9","0.7","1.6","0.6","3","*****","94.1","0.2","34.1","(X)","35","(X)","24.9","(X)","60345","3011","61746","3838","4679","1104","19759","963","9759","1800","1443","801","20164","3200","68452","3580","43002","4065","52966","5318","88674","6726","72540","16177","101177","7656","77188","14927","24383","1125","24725","1141","N","N","22185","9041","N","N","N","N","25888","20224","12674","6105","19923","6489","24887","1173","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US26159","Van Buren County, Michigan","28564","1278","73.3","3.1","21.4","2.6","37.7","3.2","7.8","2.3","2.4","1","23.1","2.7","18526","1239","17.5","2.9","28.9","3.6","31.4","4.4","9.1","2.7","10.5","2.9","2.6","1.2","75077","*****","86.5","1.6","3.2","0.6","0.6","0.3","0.7","0.1","0","0.2","4.1","1.4","5","1.2","11.3","*****","81.5","0.2","33.2","(X)","35.4","(X)","27.4","(X)","64929","5850","61846","4274","26962","17454","17570","1177","9951","1611","3171","1046","24023","11612","77812","7884","39708","6881","55976","8156","112844","21317","65683","9971","102874","12380","95650","26580","25101","2215","26940","2585","14544","4391","N","N","7920","4410","N","N","14950","4687","8260","2576","12791","2462","27672","2673","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US26161","Washtenaw County, Michigan","138099","2174","81.5","1.1","26.4","1.4","25.5","1","3.2","0.6","1.8","0.4","17.5","1.1","78918","2397","12.4","1.1","30.3","2.3","36.8","2.1","9","1.2","8.5","1.2","2.9","0.8","358880","*****","73.3","0.5","12.5","0.6","0.5","0.3","8.9","0.4","0.1","0.1","0.8","0.3","3.9","0.7","4.6","*****","70.2","0.3","32.2","(X)","33","(X)","26.9","(X)","86381","2866","85053","3284","17099","4008","20521","646","10223","1117","2036","918","26036","2157","110589","4276","63247","14489","90617","7819","138054","5505","75545","7888","155146","14143","150507","52812","35292","1070","38872","1366","20595","1743","24238","10562","36450","5621","N","N","24123","9912","16638","3292","22809","3381","39494","1462","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US26163","Wayne County, Michigan","667521","5414","70.7","0.7","15.1","0.4","33.3","0.6","9.4","0.5","3.7","0.3","21.4","0.6","408977","5495","19.7","0.9","37.3","1.1","20.7","0.9","13","0.9","6.4","0.5","2.9","0.4","1759335","*****","53.5","0.3","39.1","0.1","0.3","0.1","3.2","0.1","0","0.1","1.8","0.3","2","0.2","5.7","*****","49.8","0.1","39.2","(X)","42","(X)","31.1","(X)","60145","1109","63250","1189","17737","3498","17784","264","9705","339","2693","244","22300","1580","71491","1414","36384","2928","54537","1885","113121","3620","73014","3894","131681","7414","91359","8539","23789","403","29823","681","16285","508","23717","6783","25948","2734","N","N","14761","3924","13749","2235","14079","1373","30973","715","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US27003","Anoka County, Minnesota","126823","1269","83.7","1.1","20.9","1.5","26.1","0.8","3.1","0.5","3.6","0.7","17.1","1.2","92957","2055","11.3","1.1","25.3","2.1","40.9","2.3","8.7","1.4","11.6","1.4","2.3","0.7","344151","*****","85","0.6","5.3","0.5","0.8","0.3","4.3","0.2","0","0.1","1.3","0.5","3.3","0.7","4.2","*****","82.6","0.3","27.7","(X)","26.9","(X)","21","(X)","87681","2675","87880","2935","16694","4260","20313","531","10899","1115","2782","771","21336","2102","98874","3614","51661","4790","75908","8799","117465","5580","83163","12428","137003","10218","121489","18008","33065","1019","35471","1115","19810","2432","23991","6945","25587","4086","N","N","11304","2672","12676","3633","13885","1426","36073","1195","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US27013","Blue Earth County, Minnesota","25802","658","82","2.1","20.7","2.6","25.5","2.4","2.6","1","2.4","1.2","14.2","1.9","13958","862","10.6","1.9","29.8","4.2","43.3","4.4","6.9","2.5","7.8","2","1.5","0.9","65787","*****","91.5","0.3","3.4","0.8","0.4","0.1","1.7","0.8","0","0.1","0.4","0.3","2.6","1.1","3.3","*****","88.7","0.2","40.1","(X)","33.7","(X)","34","(X)","64689","3892","65134","4575","11225","3074","19019","1347","9895","1596","1939","497","21361","3724","83150","6426","55125","11589","56126","7307","106935","12812","59881","12546","110762","10429","96142","22698","26097","1465","27288","1532","11985","5297","19989","9480","10315","7288","N","N","N","N","15666","5572","9776","5481","27822","1653","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US27019","Carver County, Minnesota","35232","680","86.8","2.1","24.8","2.5","22.7","1.9","1.9","1","0.5","0.5","13.6","2","26957","1089","7.8","1.6","20.8","2.9","49.7","3.6","6.9","2.3","12.9","2.4","1.8","1.4","98741","*****","92.9","0.6","1.8","0.6","0.1","0.1","2.3","0.6","0","0.1","0.4","0.3","2.5","0.7","4.1","*****","89.4","0.1","23.7","(X)","23.9","(X)","18.1","(X)","121529","6617","124584","7351","15574","4049","21140","1255","12518","2480","N","N","24093","4528","139280","8237","52271","8555","119627","27331","158471","12860","100265","20424","174862","21121","107579","26163","43637","2180","44374","2185","16681","7284","N","N","50997","13147","N","N","21574","8909","32942","20134","15327","3293","45554","2301","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US27037","Dakota County, Minnesota","158944","1429","84.7","0.9","22.2","1.2","25.8","1.1","3.6","0.7","3.4","0.8","16.9","1","109617","2337","8.8","0.8","27.9","2.1","41.3","2.2","8.3","1","11.4","1.2","2.3","0.9","414686","*****","82.7","0.8","5.2","0.5","0.3","0.2","4.8","0.3","0","0.1","3.1","0.8","3.9","0.7","6.7","*****","79.8","0.1","24.4","(X)","24.5","(X)","19.1","(X)","94077","2788","93292","3065","19197","4291","20438","660","10173","729","2839","760","22498","1482","109201","3754","75725","14085","77012","6586","129380","4580","85728","8960","160222","16394","97017","16719","36688","1082","39978","1285","22177","2848","17020","7848","29547","4122","N","N","14867","3133","13842","2375","18900","5288","40509","1209","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US27053","Hennepin County, Minnesota","499754","3284","83.2","0.6","26.9","0.9","23.4","0.5","4.3","0.4","4.6","0.5","13.8","0.6","284911","4730","9.9","0.6","26.6","1.1","41.9","1.3","8.7","0.7","10.2","0.7","2.7","0.4","1223149","*****","73.4","0.3","12.9","0.3","0.5","0.1","7.1","0.2","0","0.1","2.6","0.3","3.4","0.3","6.9","*****","69.7","0.1","28.5","(X)","29.2","(X)","23.8","(X)","96815","1839","97923","1816","20076","2066","19122","362","10051","459","2843","394","27687","2898","122199","2798","64962","5624","96895","6275","147102","4281","92697","7260","169483","14496","112769","16627","40434","762","46881","916","16691","1757","15568","3909","35577","3467","N","N","17310","3166","23319","4682","16683","1482","48412","988","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US27109","Olmsted County, Minnesota","58101","1198","81","1.8","29.5","2.3","28.1","1.9","2.9","0.9","2.5","1","17.5","1.5","38967","1364","12.2","1.8","24","3","46.6","3.3","4.6","1.2","10.5","1.9","2","0.9","151436","*****","84.8","0.7","5.1","1","0.5","0.5","6.3","0.4","0.1","0.1","0.8","0.5","2.4","1.1","4.8","*****","81.2","0.1","25.6","(X)","25.6","(X)","21.5","(X)","92519","4534","93217","4403","16198","7048","19618","1160","8828","1664","3686","1707","29096","5226","112399","6135","79583","25849","90113","16517","133748","9661","59093","8403","135209","11734","85824","23160","36282","1620","38285","1864","12099","4247","22745","8137","37942","9539","N","N","31542","12147","18235","6765","19785","5170","39206","1917","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US27123","Ramsey County, Minnesota","207066","2019","79.4","1.1","26.2","1.2","29.3","1.1","4.8","0.6","5","0.7","18.2","1.1","120396","3316","11.3","1","27.7","1.9","38.8","1.8","10.6","1.6","8.7","1","3.1","0.7","538133","*****","68.5","0.6","11.5","0.4","0.5","0.2","13.8","0.5","0","0.1","1.4","0.5","4.2","0.7","7.4","*****","63.3","0.1","27.4","(X)","28.4","(X)","22.1","(X)","77231","2085","77663","2190","16123","3645","19018","486","8687","672","2662","457","22822","1509","94155","3022","55134","4918","69092","7109","119607","5137","72488","8543","136359","10982","97167","13702","30753","775","37153","1048","16050","2184","17891","5072","18635","2421","19791","20488","13206","2740","14345","2563","15835","1973","38891","1044","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US27131","Rice County, Minnesota","22745","884","81","3.1","19.1","3.2","29.9","2.9","5.4","2.2","1.8","1.3","18.5","2.5","14614","963","12.9","3.4","22.9","4.5","45.8","4.8","7.4","2.9","9.8","2.7","1.3","0.9","65400","*****","88.3","1.6","3.4","1.2","0.7","0.5","2.8","1.1","0","0.1","3.1","1.6","1.7","0.7","7.9","*****","83.8","0.1","32","(X)","31.8","(X)","24.6","(X)","75012","6100","75382","7065","17357","5592","18473","1309","7889","935","3905","3210","18841","2611","92272","8612","48978","10017","63217","8587","104264","8890","91138","66440","160605","50558","106451","12090","28233","2319","30643","2667","6655","3577","N","N","13982","3793","N","N","10797","3567","11327","5855","12248","2435","31619","2783","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US27137","St. Louis County, Minnesota","84010","1851","72.1","1.6","23","1.5","35.4","1.3","6.8","1.2","4.5","1","25.3","1.5","48427","2095","17.7","1.8","29.6","2.7","34.5","2.9","8.3","1.6","8.8","1.4","1.1","0.5","200431","*****","92.3","0.2","1.4","0.4","1.3","0.4","1.2","0.2","0.1","0.1","0.2","0.2","3.5","0.7","1.5","*****","91.3","0.1","32.3","(X)","30.8","(X)","26.3","(X)","65633","2683","68392","3250","11760","2300","18097","674","11317","1144","2294","597","20881","1593","83266","4370","47212","5612","67313","9598","105851","7547","75939","11991","127497","15612","86857","19370","28295","1151","29640","1227","7335","2219","16150","3092","10296","3200","N","N","15024","10724","13380","2936","11150","2890","29815","1235","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US27139","Scott County, Minnesota","47643","990","87","1.9","24.7","2.4","19.2","1.6","3.4","1.4","3.1","1.4","12.1","1.7","37079","1482","7.6","1.5","23","4.1","44.8","3.9","8","2.1","15.2","2.7","1.4","0.8","141660","*****","84.4","0.9","2.8","0.6","0.7","0.2","6.4","0.5","0","0.1","2.4","1","3.3","0.8","4.9","*****","82.5","0.1","27.2","(X)","25.8","(X)","21.6","(X)","105942","6448","108105","6647","13663","4308","20193","1440","11631","3001","2841","2227","22503","4064","118000","6967","60253","9364","94699","20033","134306","8563","83695","28579","153911","15102","94226","29370","36519","1931","38798","2087","26772","10451","65506","45433","27663","7228","N","N","12199","2817","15355","8657","13876","2791","39334","2117","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US27141","Sherburne County, Minnesota","31692","807","84.1","2.9","19.2","3.2","22.4","2.2","4.2","2","2.3","1.8","14.1","2.4","24072","1401","11","3.3","26","5.2","39.8","5.8","10.5","3.9","12.2","3.4","0.5","0.6","91705","*****","93.7","0.7","2","0.7","0.5","0.3","1.7","0.1","0","0.1","0.4","0.4","1.7","0.9","2.5","*****","92.1","0.1","30.3","(X)","30.8","(X)","27.6","(X)","87407","5050","90692","5700","11266","7734","21018","2295","10681","2522","2534","1444","19860","4038","93573","5618","38866","10373","69605","9350","109180","6972","90818","20427","143692","12526","141766","51018","30618","1744","31515","1738","9681","4725","4799","3828","24413","8390","N","N","N","N","N","N","17911","14837","31899","1786","(X)","(X)","(X)","(X)","(X)","(X)"
