id,Geographic Area Name,Total population,Margin of Error Total population,White Percentage,Margin of Error White Percentage,Black Percentage,Margin of Error Black Percentage,Native Percentage,Margin of Error Native Percentage,Asian Percentage,Margin of Error Asian Percentage,Islander Percentage,Margin of Error Islander Percentage,Other Percentage,Margin of Error Other Percentage,Mixed Percentage,Margin of Error Mixed Percentage,Latino Total Percentage,Margin of Error Latino Total Percentage,White Alone Percentage,Margin of Error White Alone Percentage,Mean Income Total,Margin of Error Mean Income Total,Mean Income White,Margin of Error Mean Income White,Mean Income Black,Margin of Error Mean Income Black,Mean Income Native,Margin of Error Mean Income Native,Mean Income Asian,Margin of Error Mean Income Asian,Mean Income Islander,Margin of Error Mean Income Islander,Mean Income Other,Margin of Error Mean Income Other,Mean Income Mixed,Margin of Error Mean Income Mixed,Mean Income Latino Total,Margin of Error Mean Income Latino Total,Mean Income White Alone,Margin of Error Mean Income White Alone
0500000US36001,Albany,303833,*****,78.4,0.5,13.1,0.5,0.3,0.1,4.6,0.5,0,0.1,1.5,0.6,2.2,0.6,5,*****,75.9,0.1,29914,1499,33241,1928,15813,1796,25723,7709,25427,5606,N,N,18575,6563,12511,7091,18111,2998,33729,1985
0500000US36005,Bronx,1386657,*****,22.9,0.8,35,0.6,0.5,0.2,3.4,0.2,0,0.1,34,1,4.1,0.4,53.6,*****,10.9,0.1,16671,356,22236,872,16645,648,12330,3980,21288,2588,N,N,13088,626,12232,1541,13610,493,29257,1438
0500000US36007,Broome,200272,*****,88.7,0.5,4.2,0.5,0.2,0.2,3.3,0.4,0,0.1,0.9,0.5,2.7,0.8,3.4,*****,86.2,0.2,23066,964,24295,1039,10200,2871,32277,20480,15398,5542,N,N,10855,7712,14985,7106,8591,2366,24739,1086
0500000US36009,Cattaraugus,80229,*****,93.2,0.3,1.6,0.2,3.2,0.5,0.8,0.1,0,0.2,0.4,0.2,0.9,0.5,1.8,*****,91.9,0.1,21084,1268,21512,1317,12155,4861,17559,4831,16512,14182,N,N,N,N,15482,8933,13115,7645,21625,1316
0500000US36011,Cayuga,79978,*****,92.7,0.6,3.3,1.1,0.3,0.3,2.1,1.1,0,0.2,0.5,0.4,1,0.5,2.4,*****,91.4,0.2,22629,912,23627,944,5073,3229,N,N,18039,9182,N,N,N,N,6103,4508,5077,2897,23860,951
0500000US36013,Chautauqua,134768,*****,92.8,0.9,2.6,0.6,0.6,0.2,0.6,0.1,0,0.1,1.6,0.9,1.8,0.7,6.2,*****,89,0.5,20358,823,21023,881,11424,5313,17481,7513,10762,7212,N,N,17194,5617,5197,2831,10240,2216,21506,921
0500000US36015,Chemung,88824,*****,88.6,0.7,6.8,1.4,0.4,0.3,1,0.8,0,0.2,0.2,0.4,3,1.1,1.6,0.9,87.4,0.1,24437,1745,25289,1830,20991,10927,N,N,N,N,N,N,N,N,6381,4437,11268,6079,25514,1820
0500000US36019,Clinton,82115,*****,93.1,0.4,4.1,0.9,0.5,0.7,1.1,0.3,0,0.2,0.4,0.3,0.7,0.5,2.5,*****,91.2,0.2,21666,1190,22826,1320,4468,3829,N,N,9486,6094,N,N,N,N,N,N,10533,4484,23065,1337
0500000US36027,Dutchess,297577,*****,79.9,0.9,10.1,0.7,0.3,0.2,3.7,0.2,0,0.1,3.8,0.8,2.1,0.6,10.6,*****,74.5,0.1,31796,1221,33524,1352,21593,3027,22591,7224,41911,9844,N,N,18334,4276,23520,19454,21808,3801,34412,1368
0500000US36029,Erie,918652,*****,80.2,0.3,13,0.3,0.7,0.1,2.5,0.3,0,0.1,1.4,0.3,2.2,0.4,4.6,*****,77.6,0.1,25387,426,27744,519,15443,1157,15364,4616,22360,4492,N,N,12671,4667,12719,3752,14000,1671,28155,527
0500000US36045,Jefferson,116582,*****,87.5,0.7,4.5,0.8,0.5,0.3,1.7,0.3,0.8,0.9,2.1,0.7,3,0.9,5.3,*****,85.7,0.1,22514,1388,23314,1582,18138,6896,11435,9342,28596,20604,N,N,13573,4016,9896,4069,15453,3313,23359,1585
0500000US36047,Kings,2508340,*****,44.8,0.5,34.1,0.3,0.5,0.1,10.5,0.1,0,0.1,8.1,0.5,2,0.2,19.9,*****,35.6,0.1,23218,431,28369,725,20435,819,14259,3392,18124,902,22507,6507,14883,1029,17681,3196,15603,613,31583,871
0500000US36051,Livingston,65333,*****,94,0.8,2.2,0.8,0.2,0.2,1.1,0.7,0.1,0.1,0.8,0.8,1.7,0.9,2.8,*****,92.2,0.1,22516,1353,23001,1377,N,N,N,N,N,N,N,N,26676,2409,13279,7948,13683,8232,23253,1366
0500000US36053,Madison,73439,*****,95.1,0.4,1.9,0.7,0.5,0.6,0.6,0.3,0,0.2,0.1,0.1,1.9,0.9,1.8,*****,93.9,0.2,23661,1541,24276,1528,N,N,N,N,N,N,N,N,N,N,5822,3757,7278,3925,24460,1551
0500000US36055,Monroe,744389,*****,76.8,0.5,14.9,0.4,0.3,0.1,3.4,0.2,0,0.1,2.4,0.5,2.1,0.3,7.3,*****,72.7,0.1,26805,693,30222,815,15323,2268,28665,20279,20369,3162,N,N,13731,2619,8855,2699,13408,1596,31093,835
0500000US36059,Nassau,1341245,*****,72.1,0.6,10.9,0.2,0.1,0.1,7.9,0.2,0,0.1,6.4,0.6,2.6,0.4,14.7,*****,65.4,0.1,39935,893,45317,1124,25622,1363,21530,7614,33382,2548,N,N,19012,1870,23201,6687,20642,1081,47535,1236
0500000US36061,New York,1586698,*****,57.5,0.6,15.6,0.4,0.3,0.1,11.2,0.2,0,0.1,11.1,0.7,4.3,0.4,25.6,*****,47.8,0.1,56556,1440,77052,2466,22828,1596,16416,5275,50899,4233,N,N,16764,2099,24954,3068,20276,1473,87129,2684
0500000US36063,Niagara,216546,*****,88.8,0.5,7.3,0.4,0.3,0.1,1,0.1,0.1,0.1,0.5,0.4,2,0.5,2.2,*****,87.3,0.1,24292,986,25634,1068,13518,2744,22658,5895,14406,6806,N,N,N,N,11234,3759,18445,8540,25732,1067
