"GEO_ID","NAME","S1902_C01_001E","S1902_C01_001M","S1902_C01_002E","S1902_C01_002M","S1902_C01_003E","S1902_C01_003M","S1902_C01_004E","S1902_C01_004M","S1902_C01_005E","S1902_C01_005M","S1902_C01_006E","S1902_C01_006M","S1902_C01_007E","S1902_C01_007M","S1902_C01_008E","S1902_C01_008M","S1902_C01_009E","S1902_C01_009M","S1902_C01_010E","S1902_C01_010M","S1902_C01_011E","S1902_C01_011M","S1902_C01_012E","S1902_C01_012M","S1902_C01_013E","S1902_C01_013M","S1902_C01_014E","S1902_C01_014M","S1902_C01_015E","S1902_C01_015M","S1902_C01_016E","S1902_C01_016M","S1902_C01_017E","S1902_C01_017M","S1902_C01_018E","S1902_C01_018M","S1902_C01_019E","S1902_C01_019M","S1902_C01_020E","S1902_C01_020M","S1902_C01_021E","S1902_C01_021M","S1902_C01_022E","S1902_C01_022M","S1902_C01_023E","S1902_C01_023M","S1902_C01_024E","S1902_C01_024M","S1902_C01_025E","S1902_C01_025M","S1902_C01_026E","S1902_C01_026M","S1902_C01_027E","S1902_C01_027M","S1902_C02_001E","S1902_C02_001M","S1902_C02_002E","S1902_C02_002M","S1902_C02_003E","S1902_C02_003M","S1902_C02_004E","S1902_C02_004M","S1902_C02_005E","S1902_C02_005M","S1902_C02_006E","S1902_C02_006M","S1902_C02_007E","S1902_C02_007M","S1902_C02_008E","S1902_C02_008M","S1902_C02_009E","S1902_C02_009M","S1902_C02_010E","S1902_C02_010M","S1902_C02_011E","S1902_C02_011M","S1902_C02_012E","S1902_C02_012M","S1902_C02_013E","S1902_C02_013M","S1902_C02_014E","S1902_C02_014M","S1902_C02_015E","S1902_C02_015M","S1902_C02_016E","S1902_C02_016M","S1902_C02_017E","S1902_C02_017M","S1902_C02_018E","S1902_C02_018M","S1902_C02_019E","S1902_C02_019M","S1902_C02_020E","S1902_C02_020M","S1902_C02_021E","S1902_C02_021M","S1902_C02_022E","S1902_C02_022M","S1902_C02_023E","S1902_C02_023M","S1902_C02_024E","S1902_C02_024M","S1902_C02_025E","S1902_C02_025M","S1902_C02_026E","S1902_C02_026M","S1902_C02_027E","S1902_C02_027M"
"id","Geographic Area Name","Total!!Estimate!!All households","Total!!Margin of Error!!All households","Total!!Estimate!!All households!!With earnings","Total!!Margin of Error!!All households!!With earnings","Total!!Estimate!!All households!!With interest, dividends, or net rental income","Total!!Margin of Error!!All households!!With interest, dividends, or net rental income","Total!!Estimate!!All households!!With Social Security income","Total!!Margin of Error!!All households!!With Social Security income","Total!!Estimate!!All households!!With Supplemental Security Income (SSI)","Total!!Margin of Error!!All households!!With Supplemental Security Income (SSI)","Total!!Estimate!!All households!!With cash public assistance income","Total!!Margin of Error!!All households!!With cash public assistance income","Total!!Estimate!!All households!!With retirement income","Total!!Margin of Error!!All households!!With retirement income","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!PERCENT ALLOCATED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT ALLOCATED!!Household income in the past 12 months","Total!!Estimate!!PERCENT ALLOCATED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT ALLOCATED!!Family income in the past 12 months","Total!!Estimate!!PERCENT ALLOCATED!!Individual income in the past 12 months","Total!!Margin of Error!!PERCENT ALLOCATED!!Individual income in the past 12 months","Mean income (dollars)!!Estimate!!All households","Mean income (dollars)!!Margin of Error!!All households","Mean income (dollars)!!Estimate!!All households!!With earnings","Mean income (dollars)!!Margin of Error!!All households!!With earnings","Mean income (dollars)!!Estimate!!All households!!With interest, dividends, or net rental income","Mean income (dollars)!!Margin of Error!!All households!!With interest, dividends, or net rental income","Mean income (dollars)!!Estimate!!All households!!With Social Security income","Mean income (dollars)!!Margin of Error!!All households!!With Social Security income","Mean income (dollars)!!Estimate!!All households!!With Supplemental Security Income (SSI)","Mean income (dollars)!!Margin of Error!!All households!!With Supplemental Security Income (SSI)","Mean income (dollars)!!Estimate!!All households!!With cash public assistance income","Mean income (dollars)!!Margin of Error!!All households!!With cash public assistance income","Mean income (dollars)!!Estimate!!All households!!With retirement income","Mean income (dollars)!!Margin of Error!!All households!!With retirement income","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","Mean income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Mean income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Mean income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Mean income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Mean income (dollars)!!Estimate!!PERCENT ALLOCATED!!Household income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT ALLOCATED!!Household income in the past 12 months","Mean income (dollars)!!Estimate!!PERCENT ALLOCATED!!Family income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT ALLOCATED!!Family income in the past 12 months","Mean income (dollars)!!Estimate!!PERCENT ALLOCATED!!Individual income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT ALLOCATED!!Individual income in the past 12 months"
"0500000US01003","Baldwin County, Alabama","76779","3010","70.2","2.7","21.1","2.4","39.8","2.8","5.5","1.3","0.6","0.3","26.3","2.2","49943","3287","22.6","2.4","31.6","4.1","32.4","3.8","5.8","1.6","5.9","1.9","1.7","1.2","208563","*****","86.5","0.5","9.0","0.6","0.7","0.6","0.4","0.2","0.0","0.1","0.7","0.5","2.6","0.7","4.4","*****","83.0","0.3","36.3","(X)","38.6","(X)","30.5","(X)","74892","4192","77076","4879","16211","5092","19932","919","10300","1496","1390","515","29136","4022","93516","5613","57819","8599","80909","10390","123225","10436","91172","30060","131709","17750","111494","40925","29977","1456","31953","1684","14788","2972","N","N","47256","30390","N","N","25513","7876","19343","11705","12836","4213","32881","1736","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US01015","Calhoun County, Alabama","43972","1687","69.4","3.0","13.1","2.0","40.5","2.8","6.4","1.6","1.7","0.8","24.4","2.7","30403","1889","23.2","3.2","35.8","4.6","24.3","4.0","9.4","2.9","5.3","2.4","1.9","1.2","114611","*****","73.6","0.8","21.1","0.5","0.7","0.8","0.9","0.2","0.0","0.1","1.9","0.9","1.8","0.6","3.6","*****","72.6","0.1","35.4","(X)","35.6","(X)","26.3","(X)","58992","5020","59439","5299","16573","9603","17017","1001","9468","1477","3602","2442","27767","14132","68916","6584","36288","4208","71592","16616","84194","7592","76751","28914","104862","16626","81341","11864","23818","2156","25648","2713","18491","2702","9010","11386","N","N","N","N","10301","5479","9553","3545","10562","3534","25790","2737","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US01043","Cullman County, Alabama","30299","1234","64.6","3.8","14.8","2.9","40.6","3.7","5.1","2.0","1.5","1.0","22.1","3.2","21551","1384","25.1","4.4","32.7","5.1","25.6","4.7","8.1","2.9","6.2","3.0","2.5","1.5","82471","*****","95.8","0.7","1.3","0.3","0.8","0.6","0.9","0.6","0.0","0.2","0.7","0.7","0.6","0.4","4.3","*****","92.3","0.2","34.5","(X)","33.1","(X)","28.3","(X)","54412","4271","60721","5791","13435","4582","19030","1166","12011","4091","2710","1453","18432","2628","63914","5327","32551","5139","56651","8698","80044","7870","94368","35967","110415","24780","95375","45888","21237","1832","21514","1889","14595","8400","21132","21253","11459","4598","N","N","11930","3849","15983","12652","9118","2558","21998","1950","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US01049","DeKalb County, Alabama","25383","1190","68.4","4.0","12.4","3.2","39.5","3.4","7.4","2.5","2.1","1.4","18.9","3.2","18834","1335","21.8","4.2","37.5","6.0","25.2","5.1","6.8","3.1","7.4","3.1","1.3","1.1","70900","*****","87.6","3.6","1.5","0.3","1.2","0.8","0.1","0.1","0.1","0.2","7.2","3.6","2.2","0.9","14.3","*****","80.7","0.1","38.2","(X)","40.1","(X)","30.0","(X)","48529","4224","50842","4810","15536","9103","16616","1135","8283","2285","1145","377","20051","2700","54066","4666","32594","6185","46865","7632","67011","10841","45866","7956","113451","32585","76655","31666","19215","1343","20234","1515","10943","5856","11656","12149","N","N","N","N","9226","2667","22212","16484","8923","1120","21223","1557","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US01051","Elmore County, Alabama","29350","1102","73.0","4.1","17.0","2.8","32.6","3.1","6.5","3.0","1.7","1.0","26.0","3.9","21413","1872","20.9","5.1","30.4","5.6","31.3","5.5","8.4","3.2","7.5","3.2","1.4","1.6","81799","*****","N","N","N","N","N","N","N","N","N","N","N","N","N","N","1.0","0.7","73.4","0.2","34.1","(X)","35.0","(X)","27.2","(X)","71553","7080","74781","8426","9254","4056","19990","1730","8602","1799","1859","972","26366","3301","82014","9423","39824","9772","63349","11078","110777","14127","78199","20139","160846","51898","74830","11363","26230","2277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","29463","2744","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US01055","Etowah County, Alabama","38766","1489","66.4","3.4","15.4","2.6","43.0","3.2","7.4","1.9","0.7","0.7","23.8","2.7","26348","1553","22.8","3.6","38.8","5.6","24.7","4.2","6.7","2.5","5.6","1.7","1.4","0.9","102564","*****","81.1","1.0","16.0","1.2","0.5","0.4","0.8","0.1","0.0","0.2","0.1","0.2","1.5","0.8","3.8","*****","78.0","0.2","39.7","(X)","39.5","(X)","31.9","(X)","55243","3843","59322","5218","11250","3942","18357","1057","7971","1302","N","N","19460","2391","65211","5370","37890","6441","55891","8706","96336","11495","49415","10157","116441","12731","93046","30160","22117","1515","23929","1735","14934","2415","N","N","16865","7762","N","N","N","N","10532","6882","10401","3485","24446","1764","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US01069","Houston County, Alabama","39167","959","71.2","2.0","15.8","1.3","36.2","1.3","8.1","1.2","1.2","0.4","21.9","1.6","25102","1015","20.9","2.1","37.8","3.0","27.9","2.6","7.3","1.5","4.6","1.1","1.5","0.7","104056","*****","69.0","0.6","26.7","0.4","0.4","0.2","1.0","0.1","0.0","0.2","1.0","0.6","1.9","0.4","3.2","*****","66.9","0.2","41.1","(X)","40.5","(X)","32.9","(X)","59912","2517","61384","2684","15627","5518","18375","623","8964","976","2456","920","22608","2959","71527","3121","43772","7428","62067","5235","98685","5777","67435","11947","110782","16567","89553","28114","24013","942","27621","1211","15541","1300","15959","14106","42098","22651","N","N","15107","5736","8298","2642","12149","2395","28122","1281","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US01073","Jefferson County, Alabama","261904","4316","76.2","1.1","17.8","1.0","32.2","1.0","7.1","0.8","1.7","0.4","19.2","1.1","164604","4611","14.8","1.3","36.5","1.9","28.2","1.7","10.5","1.2","7.0","0.9","3.1","0.7","659521","*****","51.6","0.3","42.5","0.6","0.3","0.1","1.3","0.2","0.0","0.1","2.1","0.5","2.2","0.5","3.7","*****","50.1","0.1","38.9","(X)","41.6","(X)","31.6","(X)","74945","2961","76651","3197","23569","5578","17802","465","9267","659","2398","620","23428","2361","93096","4661","46140","5556","81380","7900","126873","6885","84774","18807","131319","14726","89323","14133","30674","1200","40498","1942","20371","983","23342","10130","36443","7508","N","N","12854","2828","13861","4945","15923","2208","41112","2034","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US01077","Lauderdale County, Alabama","37875","1391","71.2","2.6","20.0","3.0","39.0","2.8","6.0","1.9","1.2","0.8","26.1","2.9","23256","1897","17.8","3.2","40.1","5.3","26.6","4.0","6.6","2.2","7.6","2.8","1.4","1.7","92318","*****","87.3","0.1","10.3","0.9","0.1","0.2","0.8","0.1","0.1","0.1","0.1","0.1","1.3","0.8","2.6","*****","84.8","0.2","45.2","(X)","42.5","(X)","34.2","(X)","58691","3561","58672","4232","6553","2723","19563","1275","9210","1654","N","N","22960","2824","74114","5065","45308","7673","63355","8625","102043","12810","69476","11162","96345","14844","120982","28027","24592","1411","25188","1430","18155","3774","N","N","N","N","N","N","N","N","N","N","5780","3590","25765","1449","(X)","(X)","(X)","(X)","(X)","(X)"
