"GEO_ID","NAME","K200201_001E","K200201_001M","K200201_002E","K200201_002M","K200201_003E","K200201_003M","K200201_004E","K200201_004M","K200201_005E","K200201_005M","K200201_006E","K200201_006M","K200201_007E","K200201_007M","K200201_008E","K200201_008M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races"
"0500000US36001","Albany County, New York","307117","*****","228964","1708","39649","3076","282","202","21496","903","834","1334","2771","1029","13121","2729"
"0500000US36003","Allegany County, New York","46430","*****","44305","186","759","105","172","136","444","190","0","201","165","138","585","232"
"0500000US36005","Bronx County, New York","1432132","*****","321890","14850","509310","11365","8717","1790","54467","3012","1945","1765","473965","18196","61838","7524"
"0500000US36007","Broome County, New York","191659","*****","163081","1589","10809","1249","591","246","9341","298","99","179","3346","1538","4392","1397"
"0500000US36009","Cattaraugus County, New York","76840","*****","70431","345","1018","603","2539","318","481","179","0","201","589","348","1782","704"
"0500000US36011","Cayuga County, New York","77145","*****","71045","453","3506","484","132","123","580","121","0","201","529","412","1353","534"
"0500000US36013","Chautauqua County, New York","127939","*****","116291","1329","3434","803","394","350","716","353","157","226","4427","1318","2520","982"
"0500000US36015","Chemung County, New York","84254","*****","74324","534","4999","1248","15","29","1174","486","0","201","501","405","3241","1401"
"0500000US36017","Chenango County, New York","47536","*****","45375","236","441","268","82","144","265","303","12","25","380","270","981","371"
"0500000US36019","Clinton County, New York","80695","*****","73115","517","3605","285","54","99","962","404","0","201","2439","591","520","350"
"0500000US36021","Columbia County, New York","59916","*****","53442","819","2162","772","185","207","1396","16","0","201","1122","782","1609","760"
"0500000US36023","Cortland County, New York","47823","*****","45179","343","478","274","182","280","452","193","0","201","324","339","1208","442"
"0500000US36025","Delaware County, New York","44527","*****","42231","326","750","282","67","105","379","80","11","23","142","202","947","348"
"0500000US36027","Dutchess County, New York","293718","*****","229184","2480","32319","1970","1017","663","9867","1261","23","46","10400","2452","10908","2539"
"0500000US36029","Erie County, New York","919719","*****","711887","2775","121796","2629","4117","953","34361","1559","22","43","22467","2784","25069","3450"
"0500000US36031","Essex County, New York","37300","*****","34452","45","1137","675","212","238","44","66","33","63","277","178","1145","876"
"0500000US36033","Franklin County, New York","50293","*****","41409","240","3025","678","2966","937","805","815","0","201","1286","330","802","527"
"0500000US36035","Fulton County, New York","53591","*****","50849","297","967","484","500","677","448","445","0","201","308","272","519","495"
"0500000US36037","Genesee County, New York","57511","*****","52916","561","1664","645","90","267","409","450","0","201","716","483","1716","599"
"0500000US36039","Greene County, New York","47491","*****","42272","477","3657","690","161","231","170","285","0","201","421","358","810","674"
"0500000US36043","Herkimer County, New York","61833","*****","58383","638","1607","834","0","201","297","392","0","201","372","362","1174","659"
"0500000US36045","Jefferson County, New York","111755","*****","95447","1024","6760","1092","250","180","1516","448","217","220","2144","718","5421","1261"
"0500000US36047","Kings County, New York","2582830","*****","1125773","11853","827041","7587","7200","1957","300232","5847","1370","553","226874","11503","94340","7755"
