"GEO_ID","NAME","K200201_001E","K200201_001M","K200201_002E","K200201_002M","K200201_003E","K200201_003M","K200201_004E","K200201_004M","K200201_005E","K200201_005M","K200201_006E","K200201_006M","K200201_007E","K200201_007M","K200201_008E","K200201_008M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races"
"0500000US36001","Albany County, New York","309612","*****","231896","2161","39413","2210","577","404","21130","1235","0","200","4337","2120","12259","2860"
"0500000US36003","Allegany County, New York","46894","*****","44729","199","516","264","204","228","408","274","15","28","364","281","658","242"
"0500000US36005","Bronx County, New York","1471160","*****","328383","13238","517433","10375","12908","3903","57247","2069","1570","1040","505698","14483","47921","5900"
"0500000US36007","Broome County, New York","193639","*****","165668","1107","11181","978","397","363","8895","900","90","113","1284","922","6124","1333"
"0500000US36009","Cattaraugus County, New York","77348","*****","71195","277","1099","309","2370","241","754","128","0","200","245","211","1685","402"
"0500000US36011","Cayuga County, New York","77603","*****","70967","408","2879","776","7","13","410","300","0","200","561","268","2779","894"
"0500000US36013","Chautauqua County, New York","129046","*****","118064","1288","3079","569","127","155","800","220","0","200","3769","1116","3207","899"
"0500000US36015","Chemung County, New York","85557","*****","74963","526","6317","962","55","77","1677","200","0","200","698","466","1847","767"
"0500000US36017","Chenango County, New York","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US36019","Clinton County, New York","80980","*****","73166","312","3749","230","204","91","1167","293","128","159","1415","321","1151","357"
"0500000US36021","Columbia County, New York","60604","*****","54152","587","3053","660","40","53","1049","346","0","200","764","444","1546","672"
"0500000US36023","Cortland County, New York","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US36025","Delaware County, New York","45001","*****","42584","322","1063","368","62","72","447","134","0","200","352","246","493","321"
"0500000US36027","Dutchess County, New York","295568","*****","232355","3023","30371","2220","946","979","11881","678","48","71","10066","2652","9901","1663"
"0500000US36029","Erie County, New York","925528","*****","716718","2979","123182","3581","4812","1002","33896","1793","234","211","20568","2955","26118","3993"
"0500000US36031","Essex County, New York","37956","*****","34777","277","1415","495","45","46","267","466","12","34","666","333","774","439"
"0500000US36033","Franklin County, New York","51116","*****","41859","370","3061","325","2630","1089","308","426","336","457","1057","351","1865","1003"
"0500000US36035","Fulton County, New York","53877","*****","50698","544","1645","629","0","200","428","171","0","200","417","565","689","526"
"0500000US36037","Genesee County, New York","57956","*****","52946","476","2107","778","118","169","403","186","0","200","1174","567","1208","702"
"0500000US36039","Greene County, New York","47470","*****","42237","719","3328","516","156","349","573","271","0","200","784","700","392","413"
"0500000US36043","Herkimer County, New York","62240","*****","59830","336","624","365","146","156","582","427","38","60","342","331","678","558"
"0500000US36045","Jefferson County, New York","114187","*****","98132","891","7565","985","664","173","1591","717","293","350","1453","802","4489","1205"
"0500000US36047","Kings County, New York","2648771","*****","1145345","10902","850150","8026","7169","2041","324552","4620","711","390","241515","11202","79329","6126"
"0500000US36049","Lewis County, New York","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US36051","Livingston County, New York","63799","*****","58682","392","2474","730","20","35","316","240","0","200","815","398","1492","656"
"0500000US36053","Madison County, New York","70965","*****","66940","582","988","378","596","490","785","198","0","200","587","521","1069","492"
"0500000US36055","Monroe County, New York","747642","*****","563542","3902","114666","3489","3537","1815","29616","1270","69","113","12669","2444","23543","3128"
"0500000US36057","Montgomery County, New York","49258","*****","42720","881","977","506","23","48","498","200","0","200","3372","1080","1668","698"
"0500000US36059","Nassau County, New York","1369514","*****","916648","8153","161012","4070","3453","1858","134515","2847","100","121","109696","9723","44090","6093"
"0500000US36061","New York County, New York","1664727","*****","925117","13429","247139","7907","4847","2123","207799","3511","934","691","200412","13193","78479","9271"
"0500000US36063","Niagara County, New York","211328","*****","185351","594","16271","940","2697","401","1850","666","0","200","1466","650","3693","1130"
"0500000US36065","Oneida County, New York","231332","*****","197001","1865","14495","1078","566","286","10563","583","0","200","4193","1703","4514","1604"
"0500000US36067","Onondaga County, New York","465398","*****","369735","1843","53626","2261","1768","659","19377","1034","114","180","3844","1098","16934","2766"
"0500000US36069","Ontario County, New York","109899","*****","100665","790","2438","766","471","507","1497","541","0","200","2413","880","2415","1303"
"0500000US36071","Orange County, New York","382226","*****","283643","4703","42896","4726","1488","510","9694","1668","396","488","31864","5134","12245","2993"
"0500000US36073","Orleans County, New York","40983","*****","35812","334","2429","518","138","132","182","245","0","200","1295","532","1127","564"
"0500000US36081","Queens County, New York","2358582","*****","885312","14216","427999","7337","9181","1916","617230","7130","1286","648","339412","16517","78162","8265"
"0500000US36075","Oswego County, New York","118478","*****","113066","529","1266","364","231","128","914","400","0","200","477","377","2524","613"
"0500000US36077","Otsego County, New York","60094","*****","55688","640","1472","565","80","82","821","235","0","200","714","445","1319","483"
"0500000US36079","Putnam County, New York","99323","*****","87125","2081","2522","1935","0","200","1919","330","38","80","4058","1595","3661","1522"
"0500000US36083","Rensselaer County, New York","159722","*****","136267","1315","9860","1755","85","109","4503","422","112","161","2222","842","6673","1519"
"0500000US36085","Richmond County, New York","479458","*****","351632","4708","51411","2771","1019","660","45761","931","0","200","20230","4653","9405","2678"
"0500000US36087","Rockland County, New York","328868","*****","240807","3652","40540","2751","581","263","20214","1084","0","200","17857","3140","8869","2478"
"0500000US36089","St. Lawrence County, New York","109623","*****","101455","322","3441","688","462","284","1272","227","113","133","1579","409","1301","554"
"0500000US36091","Saratoga County, New York","229869","*****","212327","1112","4587","1170","723","312","6840","1011","0","200","919","490","4473","1412"
"0500000US36093","Schenectady County, New York","155565","*****","121077","2227","17374","1412","306","279","7695","1342","0","200","4130","2114","4983","1553"
"0500000US36095","Schoharie County, New York","31420","*****","29926","206","591","290","223","227","194","160","0","200","263","190","223","180"
"0500000US36099","Seneca County, New York","34498","*****","31412","332","2091","277","109","85","24","48","0","200","363","252","499","322"
"0500000US36101","Steuben County, New York","96281","*****","91448","220","1771","275","138","83","1377","408","0","200","303","192","1244","495"
"0500000US36103","Suffolk County, New York","1492953","*****","1205031","12697","124579","4365","3142","1118","59720","2378","77","124","67447","11504","32957","3928"
"0500000US36105","Sullivan County, New York","75485","*****","59475","1806","7564","1526","166","158","1323","283","0","200","4800","1541","2157","1594"
"0500000US36107","Tioga County, New York","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US36109","Tompkins County, New York","104802","*****","84625","429","3779","689","38","52","11486","789","104","174","864","437","3906","1029"
"0500000US36111","Ulster County, New York","179417","*****","150195","2083","10147","1347","617","319","4370","381","0","200","6207","1941","7881","2030"
"0500000US36113","Warren County, New York","64532","*****","61580","275","898","574","66","133","564","472","0","200","146","136","1278","572"
"0500000US36115","Washington County, New York","61620","*****","57330","333","1985","637","4","7","438","75","0","200","487","266","1376","511"
"0500000US36117","Wayne County, New York","90670","*****","84050","843","2736","576","182","280","567","321","0","200","1002","686","2133","752"
"0500000US36119","Westchester County, New York","980244","*****","617675","8165","144432","4379","4863","2263","61126","2094","555","451","124352","9416","27241","3892"
"0500000US36121","Wyoming County, New York","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US36123","Yates County, New York","24955","*****","23741","359","473","206","13","29","161","56","0","200","225","267","342","260"
