"GEO_ID","NAME","K200201_001E","K200201_001M","K200201_002E","K200201_002M","K200201_003E","K200201_003M","K200201_004E","K200201_004M","K200201_005E","K200201_005M","K200201_006E","K200201_006M","K200201_007E","K200201_007M","K200201_008E","K200201_008M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races"
"0500000US36001","Albany County, New York","308846","*****","230831","2262","38386","2112","788","467","21011","917","0","192","5538","1504","12292","2414"
"0500000US36003","Allegany County, New York","47077","*****","44869","138","1049","383","162","132","344","248","0","192","140","99","513","255"
"0500000US36005","Bronx County, New York","1455720","*****","312877","12856","495031","8546","8777","2234","51958","2912","372","436","528863","14923","57842","6806"
"0500000US36007","Broome County, New York","195334","*****","166572","1038","12650","1572","13","27","7006","1214","21","38","1866","914","7206","1595"
"0500000US36009","Cattaraugus County, New York","77677","*****","71286","276","1148","321","2615","308","509","252","0","192","376","224","1743","491"
"0500000US36011","Cayuga County, New York","77861","*****","71746","472","3240","544","139","115","400","408","0","192","554","367","1782","649"
"0500000US36013","Chautauqua County, New York","129504","*****","120008","1187","3784","474","326","140","760","336","64","97","2035","1017","2527","869"
"0500000US36015","Chemung County, New York","86322","*****","75851","561","4798","870","171","223","1588","76","22","47","770","478","3122","970"
"0500000US36017","Chenango County, New York","48579","*****","46605","306","536","218","170","178","166","141","31","56","199","199","872","401"
"0500000US36019","Clinton County, New York","81073","*****","73092","675","3875","305","114","139","990","346","0","192","1811","728","1191","534"
