"GEO_ID","NAME","K200201_001E","K200201_001M","K200201_002E","K200201_002M","K200201_003E","K200201_003M","K200201_004E","K200201_004M","K200201_005E","K200201_005M","K200201_006E","K200201_006M","K200201_007E","K200201_007M","K200201_008E","K200201_008M"
"0500000US36021","Columbia County, New York","60989","*****","54412","601","2285","587","0","192","1214","285","0","192","1104","676","1974","678"
"0500000US36023","Cortland County, New York","48070","*****","45675","199","542","450","34","66","577","147","33","68","120","133","1089","455"
"0500000US36025","Delaware County, New York","45523","*****","42802","454","683","484","0","192","413","175","0","192","831","486","794","506"
"0500000US36027","Dutchess County, New York","294473","*****","232515","3106","31588","2108","989","440","10743","767","422","493","9189","2960","9027","2426"
"0500000US36029","Erie County, New York","921046","*****","718970","3294","122691","2436","4730","1272","34132","1166","405","162","18740","3307","21378","3354"
"0500000US36031","Essex County, New York","38102","*****","34180","927","1376","558","79","86","142","139","0","192","429","258","1896","827"
"0500000US36033","Franklin County, New York","50409","*****","41826","424","2795","271","2345","611","901","479","158","163","1064","462","1320","570"
"0500000US36035","Fulton County, New York","53828","*****","50424","438","1340","574","295","442","231","342","0","192","865","606","673","398"
"0500000US36037","Genesee County, New York","58482","*****","53482","328","1154","485","616","252","437","178","0","192","1139","444","1654","620"
"0500000US36039","Greene County, New York","47508","*****","42647","622","2898","479","398","281","428","288","43","97","298","324","796","565"
"0500000US36043","Herkimer County, New York","62613","*****","60055","400","1227","553","45","79","182","171","35","65","233","213","836","383"
"0500000US36045","Jefferson County, New York","114006","*****","98583","1004","5871","1264","1667","1090","1998","456","41","57","1425","603","4421","1155"
"0500000US36047","Kings County, New York","2629150","*****","1124155","10525","861749","7591","8714","2639","315850","4323","1402","596","237591","11781","79689","6475"
"0500000US36049","Lewis County, New York","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US36051","Livingston County, New York","64257","*****","59522","542","1985","498","352","267","699","309","76","141","800","531","823","392"
"0500000US36053","Madison County, New York","71329","*****","67495","483","1272","475","203","123","726","255","152","251","200","172","1281","613"
"0500000US36055","Monroe County, New York","747727","*****","570709","2932","113806","2723","2763","877","26420","1797","309","323","12100","2510","21620","3250"
"0500000US36057","Montgomery County, New York","49276","*****","43718","1080","830","520","48","94","580","708","0","192","2634","1029","1466","737"
"0500000US36059","Nassau County, New York","1361500","*****","926594","9490","158561","3628","3420","1385","127934","2176","285","214","102363","8812","42343","6245"
"0500000US36061","New York County, New York","1643734","*****","931953","10526","246095","6743","4555","1574","204434","3603","1205","876","179384","11666","76108","9660"
"0500000US36063","Niagara County, New York","211758","*****","185171","1241","13450","1266","2246","418","2082","413","141","183","1822","1006","6846","1571"
"0500000US36065","Oneida County, New York","231190","*****","197816","1290","13313","1634","400","364","9824","545","53","93","2474","1034","7310","1636"
"0500000US36067","Onondaga County, New York","466194","*****","370920","1646","52781","1782","1769","655","17413","1087","81","97","6250","1690","16980","2450"
"0500000US36069","Ontario County, New York","109828","*****","101231","693","3180","801","584","670","1345","356","114","172","1649","776","1725","693"
"0500000US36071","Orange County, New York","379210","*****","278706","4467","38853","2721","1877","610","10686","962","149","247","32984","4846","15955","3438"
"0500000US36073","Orleans County, New York","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US36075","Oswego County, New York","118987","*****","113860","511","1795","553","184","133","730","215","75","121","167","155","2176","459"
"0500000US36077","Otsego County, New York","60097","*****","56564","328","1141","387","49","77","927","244","32","60","165","130","1219","507"
"0500000US36079","Putnam County, New York","98900","*****","85102","1797","1490","643","859","626","2214","423","56","86","7046","1878","2133","829"
"0500000US36081","Queens County, New York","2333054","*****","905860","12959","421307","6524","9509","2054","592922","6301","1240","696","318657","15669","83559","7695"
"0500000US36083","Rensselaer County, New York","160070","*****","137956","1186","9755","1225","799","932","4019","750","0","192","1866","1064","5675","1212"
"0500000US36085","Richmond County, New York","476015","*****","352530","5099","48920","2200","251","250","40747","1571","721","927","22464","5141","10382","2271"
"0500000US36087","Rockland County, New York","326780","*****","225848","4175","40350","1940","592","372","19686","1117","49","87","33989","5006","6266","1613"
"0500000US36089","St. Lawrence County, New York","110038","*****","102840","543","2925","352","437","289","1489","264","11","17","472","214","1864","625"
"0500000US36091","Saratoga County, New York","227053","*****","211505","886","2719","1370","484","351","6797","434","91","163","907","681","4550","1486"
"0500000US36093","Schenectady County, New York","154553","*****","119476","2091","14509","2171","258","305","6739","580","219","335","7110","2756","6242","1794"
"0500000US36095","Schoharie County, New York","31317","*****","29795","247","769","369","117","142","192","160","0","192","118","126","326","231"
"0500000US36099","Seneca County, New York","34777","*****","31543","270","1762","657","157","191","794","636","0","192","274","243","247","205"
"0500000US36101","Steuben County, New York","96940","*****","91500","352","1835","448","120","134","1298","369","0","192","524","381","1663","476"
"0500000US36103","Suffolk County, New York","1492583","*****","1195796","11756","111177","2689","3361","1177","58726","2528","833","555","93130","11861","29560","3824"
"0500000US36105","Sullivan County, New York","74801","*****","60496","2035","5662","967","52","73","1227","391","0","192","4373","2116","2991","1337"
"0500000US36107","Tioga County, New York","48760","*****","47063","198","337","236","0","192","562","468","0","192","0","192","798","458"
"0500000US36109","Tompkins County, New York","104871","*****","83423","799","4698","454","268","214","10625","898","0","192","1656","639","4201","1123"
"0500000US36111","Ulster County, New York","179225","*****","152042","1754","10859","1929","151","119","3969","546","21","43","5275","1537","6908","1968"
"0500000US36113","Warren County, New York","64567","*****","62127","188","690","246","85","133","603","208","82","132","146","185","834","318"
"0500000US36115","Washington County, New York","61800","*****","57848","359","1969","515","598","379","268","204","0","192","578","356","539","308"
"0500000US36117","Wayne County, New York","90798","*****","84497","921","2458","388","59","77","775","232","0","192","1092","943","1917","495"
"0500000US36119","Westchester County, New York","974542","*****","628687","8448","144510","3610","2745","832","57962","2210","192","142","107885","8254","32561","5274"
"0500000US36121","Wyoming County, New York","40791","*****","36901","447","1482","306","88","193","126","34","0","192","911","410","1283","327"
"0500000US36123","Yates County, New York","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
