id,white_population,african_american_pop,american_indian_alaska_native_pop,asian_pop,Other,Total_Population,County,State,Location,Percentage
0500000US36001,237074.0,36840.0,613.0,19602.0,15252.0,309381.0,Albany, New York,"(42.678066, -73.814233)",26.0
0500000US36003,45131.0,414.0,38.0,557.0,1322.0,47462.0,Allegany, New York,"(42.226801, -78.020567)",30.6
0500000US36005,296739.0,475704.0,9275.0,53593.0,620133.0,1455444.0,Bronx, New York,"(40.85589, -73.868294)",31.0
0500000US36007,169170.0,11374.0,335.0,8411.0,7277.0,196567.0,Broome, New York,"(42.122015, -75.933191)",31.7
0500000US36009,71494.0,1389.0,2286.0,791.0,1962.0,77922.0,Cattaraugus, New York,"(42.224267, -78.606673)",33.5
0500000US36011,72240.0,3663.0,107.0,248.0,2030.0,78288.0,Cayuga, New York,"(42.940095, -76.560755)",33.0
0500000US36013,121646.0,3224.0,755.0,844.0,4310.0,130779.0,Chautauqua, New York,"(42.246904, -79.315313)",32.1
0500000US36015,76618.0,6638.0,180.0,927.0,2708.0,87071.0,Chemung, New York,"(42.116644, -76.812331)",29.8
0500000US36017,47063.0,758.0,137.0,212.0,674.0,48844.0,Chenango, New York,"(42.481798, -75.570013)",38.9
0500000US36019,74541.0,3815.0,49.0,1268.0,1578.0,81251.0,Clinton, New York,"(44.731944, -73.548883)",26.8
0500000US36021,54955.0,2698.0,86.0,1053.0,2717.0,61509.0,Columbia, New York,"(42.276913, -73.682168)",24.0
0500000US36023,46134.0,590.0,126.0,345.0,1299.0,48494.0,Cortland, New York,"(42.597101, -76.143291)",30.8
0500000US36025,43657.0,789.0,61.0,202.0,1344.0,46053.0,Delaware, New York,"(42.242972, -74.997944)",25.8
0500000US36027,228378.0,31237.0,799.0,11505.0,23835.0,295754.0,Dutchess, New York,"(41.686216, -73.840468)",25.5
0500000US36029,718294.0,126063.0,4275.0,32105.0,41841.0,922578.0,Erie, New York,"(42.888143, -78.795544)",30.7
0500000US36031,35588.0,1329.0,98.0,290.0,1173.0,38478.0,Essex, New York,"(44.166026, -73.685145)",37.0
