id,white_population,african_american_pop,american_indian_alaska_native_pop,asian_pop,Other,Total_Population,County,State,Location,Percentage
0500000US36001,230831.0,38386.0,788.0,21011.0,17830.0,308846.0,Albany, New York,"(42.678066, -73.814233)",26.0
0500000US36003,44869.0,1049.0,162.0,344.0,653.0,47077.0,Allegany, New York,"(42.226801, -78.020567)",30.6
0500000US36005,312877.0,495031.0,8777.0,51958.0,587077.0,1455720.0,Bronx, New York,"(40.85589, -73.868294)",31.0
0500000US36007,166572.0,12650.0,13.0,7006.0,9093.0,195334.0,Broome, New York,"(42.122015, -75.933191)",31.7
0500000US36009,71286.0,1148.0,2615.0,509.0,2119.0,77677.0,Cattaraugus, New York,"(42.224267, -78.606673)",33.5
0500000US36011,71746.0,3240.0,139.0,400.0,2336.0,77861.0,Cayuga, New York,"(42.940095, -76.560755)",33.0
0500000US36013,120008.0,3784.0,326.0,760.0,4626.0,129504.0,Chautauqua, New York,"(42.246904, -79.315313)",32.1
0500000US36015,75851.0,4798.0,171.0,1588.0,3914.0,86322.0,Chemung, New York,"(42.116644, -76.812331)",29.8
0500000US36017,46605.0,536.0,170.0,166.0,1102.0,48579.0,Chenango, New York,"(42.481798, -75.570013)",38.9
0500000US36019,73092.0,3875.0,114.0,990.0,3002.0,81073.0,Clinton, New York,"(44.731944, -73.548883)",26.8
0500000US36021,54412.0,2285.0,0.0,1214.0,3078.0,60989.0,Columbia, New York,"(42.276913, -73.682168)",24.0
0500000US36023,45675.0,542.0,34.0,577.0,1242.0,48070.0,Cortland, New York,"(42.597101, -76.143291)",30.8
0500000US36025,42802.0,683.0,0.0,413.0,1625.0,45523.0,Delaware, New York,"(42.242972, -74.997944)",25.8
0500000US36027,232515.0,31588.0,989.0,10743.0,18638.0,294473.0,Dutchess, New York,"(41.686216, -73.840468)",25.5
0500000US36029,718970.0,122691.0,4730.0,34132.0,40523.0,921046.0,Erie, New York,"(42.888143, -78.795544)",30.7
0500000US36031,34180.0,1376.0,79.0,142.0,2325.0,38102.0,Essex, New York,"(44.166026, -73.685145)",37.0
0500000US36033,41826.0,2795.0,2345.0,901.0,2542.0,50409.0,Franklin, New York,"(44.705699, -74.340621)",33.4
0500000US36035,50424.0,1340.0,295.0,231.0,1538.0,53828.0,Fulton, New York,"(43.06014, -74.331296)",31.4
0500000US36037,53482.0,1154.0,616.0,437.0,2793.0,58482.0,Genesee, New York,"(43.000121, -78.172679)",30.8
0500000US36039,42647.0,2898.0,398.0,428.0,1137.0,47508.0,Greene, New York,"(42.298326, -73.973376)",31.4
0500000US36043,60055.0,1227.0,45.0,182.0,1104.0,62613.0,Herkimer, New York,"(43.070026, -74.994246)",38.2
0500000US36045,98583.0,5871.0,1667.0,1998.0,5887.0,114006.0,Jefferson, New York,"(44.019295, -75.898971)",31.8
0500000US36047,1124155.0,861749.0,8714.0,315850.0,318682.0,2629150.0,Kings, New York,"(40.65642, -73.950691)",24.8
0500000US36051,59522.0,1985.0,352.0,699.0,1699.0,64257.0,Livingston, New York,"(42.763754, -77.765392)",32.7
0500000US36053,67495.0,1272.0,203.0,726.0,1633.0,71329.0,Madison, New York,"(42.986917, -75.720031)",32.9
0500000US36055,570709.0,113806.0,2763.0,26420.0,34029.0,747727.0,Monroe, New York,"(43.161748, -77.620143)",24.5
0500000US36057,43718.0,830.0,48.0,580.0,4100.0,49276.0,Montgomery, New York,"(42.933637, -74.341972)",30.1
0500000US36059,926594.0,158561.0,3420.0,127934.0,144991.0,1361500.0,Nassau, New York,"(40.715749, -73.601185)",20.8
0500000US36061,931953.0,246095.0,4555.0,204434.0,256697.0,1643734.0,New York, New York,"(40.726966, -74.005966)",16.8
0500000US36063,185171.0,13450.0,2246.0,2082.0,8809.0,211758.0,Niagara, New York,"(43.134634, -78.856419)",30.7
0500000US36065,197816.0,13313.0,400.0,9824.0,9837.0,231190.0,Oneida, New York,"(43.149482, -75.361773)",36.6
0500000US36067,370920.0,52781.0,1769.0,17413.0,23311.0,466194.0,Onondaga, New York,"(43.065629, -76.168033)",27.9
0500000US36069,101231.0,3180.0,584.0,1345.0,3488.0,109828.0,Ontario, New York,"(42.894571, -77.252045)",26.8
0500000US36071,278706.0,38853.0,1877.0,10686.0,49088.0,379210.0,Orange, New York,"(41.422459, -74.241929)",32.5
0500000US36075,113860.0,1795.0,184.0,730.0,2418.0,118987.0,Oswego, New York,"(43.39123, -76.31133)",33.8
0500000US36077,56564.0,1141.0,49.0,927.0,1416.0,60097.0,Otsego, New York,"(42.564852, -75.060334)",25.9
0500000US36079,85102.0,1490.0,859.0,2214.0,9235.0,98900.0,Putnam, New York,"(41.41131, -73.717443)",20.5
0500000US36081,905860.0,421307.0,9509.0,592922.0,403456.0,2333054.0,Queens, New York,"(40.749338, -73.789673)",22.1
0500000US36083,137956.0,9755.0,799.0,4019.0,7541.0,160070.0,Rensselaer, New York,"(42.70098, -73.628669)",26.8
