id,white_population,african_american_pop,american_indian_alaska_native_pop,asian_pop,Other,Total_Population,County,State,Location,Percentage
0500000US36001,231896.0,39413.0,577.0,21130.0,16596.0,309612.0,Albany, New York,"(42.678066, -73.814233)",26.0
0500000US36003,44729.0,516.0,204.0,408.0,1037.0,46894.0,Allegany, New York,"(42.226801, -78.020567)",30.6
0500000US36005,328383.0,517433.0,12908.0,57247.0,555189.0,1471160.0,Bronx, New York,"(40.85589, -73.868294)",31.0
0500000US36007,165668.0,11181.0,397.0,8895.0,7498.0,193639.0,Broome, New York,"(42.122015, -75.933191)",31.7
0500000US36009,71195.0,1099.0,2370.0,754.0,1930.0,77348.0,Cattaraugus, New York,"(42.224267, -78.606673)",33.5
0500000US36011,70967.0,2879.0,7.0,410.0,3340.0,77603.0,Cayuga, New York,"(42.940095, -76.560755)",33.0
0500000US36013,118064.0,3079.0,127.0,800.0,6976.0,129046.0,Chautauqua, New York,"(42.246904, -79.315313)",32.1
0500000US36015,74963.0,6317.0,55.0,1677.0,2545.0,85557.0,Chemung, New York,"(42.116644, -76.812331)",29.8
0500000US36019,73166.0,3749.0,204.0,1167.0,2694.0,80980.0,Clinton, New York,"(44.731944, -73.548883)",26.8
0500000US36021,54152.0,3053.0,40.0,1049.0,2310.0,60604.0,Columbia, New York,"(42.276913, -73.682168)",24.0
0500000US36025,42584.0,1063.0,62.0,447.0,845.0,45001.0,Delaware, New York,"(42.242972, -74.997944)",25.8
0500000US36027,232355.0,30371.0,946.0,11881.0,20015.0,295568.0,Dutchess, New York,"(41.686216, -73.840468)",25.5
0500000US36029,716718.0,123182.0,4812.0,33896.0,46920.0,925528.0,Erie, New York,"(42.888143, -78.795544)",30.7
0500000US36031,34777.0,1415.0,45.0,267.0,1452.0,37956.0,Essex, New York,"(44.166026, -73.685145)",37.0
0500000US36033,41859.0,3061.0,2630.0,308.0,3258.0,51116.0,Franklin, New York,"(44.705699, -74.340621)",33.4
0500000US36035,50698.0,1645.0,0.0,428.0,1106.0,53877.0,Fulton, New York,"(43.06014, -74.331296)",31.4
0500000US36037,52946.0,2107.0,118.0,403.0,2382.0,57956.0,Genesee, New York,"(43.000121, -78.172679)",30.8
0500000US36039,42237.0,3328.0,156.0,573.0,1176.0,47470.0,Greene, New York,"(42.298326, -73.973376)",31.4
0500000US36043,59830.0,624.0,146.0,582.0,1058.0,62240.0,Herkimer, New York,"(43.070026, -74.994246)",38.2
