id,white_population,african_american_pop,american_indian_alaska_native_pop,asian_pop,Other,Total_Population,County,State,Location,Percentage
0500000US36001,228964.0,39649.0,282.0,21496.0,16726.0,307117.0,Albany, New York,"(42.678066, -73.814233)",26.0
0500000US36003,44305.0,759.0,172.0,444.0,750.0,46430.0,Allegany, New York,"(42.226801, -78.020567)",30.6
0500000US36005,321890.0,509310.0,8717.0,54467.0,537748.0,1432132.0,Bronx, New York,"(40.85589, -73.868294)",31.0
0500000US36007,163081.0,10809.0,591.0,9341.0,7837.0,191659.0,Broome, New York,"(42.122015, -75.933191)",31.7
0500000US36009,70431.0,1018.0,2539.0,481.0,2371.0,76840.0,Cattaraugus, New York,"(42.224267, -78.606673)",33.5
0500000US36011,71045.0,3506.0,132.0,580.0,1882.0,77145.0,Cayuga, New York,"(42.940095, -76.560755)",33.0
0500000US36013,116291.0,3434.0,394.0,716.0,7104.0,127939.0,Chautauqua, New York,"(42.246904, -79.315313)",32.1
0500000US36015,74324.0,4999.0,15.0,1174.0,3742.0,84254.0,Chemung, New York,"(42.116644, -76.812331)",29.8
0500000US36017,45375.0,441.0,82.0,265.0,1373.0,47536.0,Chenango, New York,"(42.481798, -75.570013)",38.9
0500000US36019,73115.0,3605.0,54.0,962.0,2959.0,80695.0,Clinton, New York,"(44.731944, -73.548883)",26.8
0500000US36021,53442.0,2162.0,185.0,1396.0,2731.0,59916.0,Columbia, New York,"(42.276913, -73.682168)",24.0
0500000US36023,45179.0,478.0,182.0,452.0,1532.0,47823.0,Cortland, New York,"(42.597101, -76.143291)",30.8
0500000US36025,42231.0,750.0,67.0,379.0,1100.0,44527.0,Delaware, New York,"(42.242972, -74.997944)",25.8
0500000US36027,229184.0,32319.0,1017.0,9867.0,21331.0,293718.0,Dutchess, New York,"(41.686216, -73.840468)",25.5
0500000US36029,711887.0,121796.0,4117.0,34361.0,47558.0,919719.0,Erie, New York,"(42.888143, -78.795544)",30.7
0500000US36031,34452.0,1137.0,212.0,44.0,1455.0,37300.0,Essex, New York,"(44.166026, -73.685145)",37.0
0500000US36033,41409.0,3025.0,2966.0,805.0,2088.0,50293.0,Franklin, New York,"(44.705699, -74.340621)",33.4
0500000US36035,50849.0,967.0,500.0,448.0,827.0,53591.0,Fulton, New York,"(43.06014, -74.331296)",31.4
0500000US36037,52916.0,1664.0,90.0,409.0,2432.0,57511.0,Genesee, New York,"(43.000121, -78.172679)",30.8
0500000US36039,42272.0,3657.0,161.0,170.0,1231.0,47491.0,Greene, New York,"(42.298326, -73.973376)",31.4
0500000US36043,58383.0,1607.0,0.0,297.0,1546.0,61833.0,Herkimer, New York,"(43.070026, -74.994246)",38.2
0500000US36045,95447.0,6760.0,250.0,1516.0,7782.0,111755.0,Jefferson, New York,"(44.019295, -75.898971)",31.8
0500000US36047,1125773.0,827041.0,7200.0,300232.0,322584.0,2582830.0,Kings, New York,"(40.65642, -73.950691)",24.8
0500000US36051,58876.0,2109.0,180.0,515.0,1547.0,63227.0,Livingston, New York,"(42.763754, -77.765392)",32.7
0500000US36053,66512.0,1211.0,62.0,1485.0,1525.0,70795.0,Madison, New York,"(42.986917, -75.720031)",32.9
0500000US36055,560874.0,112272.0,3122.0,28479.0,37727.0,742474.0,Monroe, New York,"(43.161748, -77.620143)",24.5
0500000US36057,43618.0,1252.0,298.0,209.0,4078.0,49455.0,Montgomery, New York,"(42.933637, -74.341972)",30.1
0500000US36059,918655.0,162245.0,6223.0,135709.0,135511.0,1358343.0,Nassau, New York,"(40.715749, -73.601185)",20.8
0500000US36061,904573.0,236356.0,12359.0,200213.0,275200.0,1628701.0,New York, New York,"(40.726966, -74.005966)",16.8
0500000US36063,183349.0,15579.0,1496.0,2791.0,7218.0,210433.0,Niagara, New York,"(43.134634, -78.856419)",30.7
0500000US36065,195773.0,15517.0,580.0,9806.0,7901.0,229577.0,Oneida, New York,"(43.149482, -75.361773)",36.6
0500000US36067,367730.0,55880.0,3251.0,15963.0,18985.0,461809.0,Onondaga, New York,"(43.065629, -76.168033)",27.9
0500000US36069,101177.0,2638.0,230.0,1317.0,4502.0,109864.0,Ontario, New York,"(42.894571, -77.252045)",26.8
0500000US36071,279314.0,43050.0,797.0,10935.0,47855.0,381951.0,Orange, New York,"(41.422459, -74.241929)",32.5
0500000US36073,35657.0,2080.0,320.0,661.0,1894.0,40612.0,Orleans, New York,"(43.248394, -78.218438)",38.5
0500000US36075,112120.0,1609.0,158.0,971.0,3040.0,117898.0,Oswego, New York,"(43.39123, -76.31133)",33.8
0500000US36077,55593.0,1417.0,43.0,771.0,1925.0,59749.0,Otsego, New York,"(42.564852, -75.060334)",25.9
0500000US36079,83229.0,3496.0,164.0,1949.0,10054.0,98892.0,Putnam, New York,"(41.41131, -73.717443)",20.5
0500000US36081,848180.0,419389.0,10219.0,588677.0,412441.0,2278906.0,Queens, New York,"(40.749338, -73.789673)",22.1
0500000US36083,136797.0,10611.0,192.0,4342.0,7500.0,159442.0,Rensselaer, New York,"(42.70098, -73.628669)",26.8
0500000US36085,347986.0,47098.0,451.0,48714.0,31930.0,476179.0,Richmond, New York,"(40.566763, -74.148102)",23.2
0500000US36087,233051.0,38958.0,377.0,19660.0,33649.0,325695.0,Rockland, New York,"(41.127287, -74.017033)",23.1
0500000US36089,99965.0,3066.0,841.0,1028.0,3147.0,108047.0,St. Lawrence, New York,"(44.689468, -75.242045)",32.7
0500000US36091,212657.0,4948.0,554.0,6005.0,5999.0,230163.0,Saratoga, New York,"(43.00894, -73.786779)",25.9
0500000US36093,118937.0,15413.0,1502.0,7111.0,12387.0,155350.0,Schenectady, New York,"(42.809233, -73.946838)",32.8
0500000US36095,29523.0,845.0,0.0,308.0,421.0,31097.0,Schoharie, New York,"(42.643426, -74.434606)",28.7
0500000US36099,30994.0,1964.0,186.0,180.0,976.0,34300.0,Seneca, New York,"(42.833627, -76.82753)",28.9
0500000US36101,90696.0,1347.0,37.0,1564.0,2152.0,95796.0,Steuben, New York,"(42.270053, -77.324618)",32.8
0500000US36103,1206349.0,116010.0,5501.0,59485.0,93748.0,1481093.0,Suffolk, New York,"(40.820237, -73.119032)",28.4
0500000US36105,61078.0,6663.0,312.0,1321.0,6124.0,75498.0,Sullivan, New York,"(41.705166, -74.711705)",27.7
0500000US36107,46751.0,264.0,542.0,294.0,709.0,48560.0,Tioga, New York,"(42.120252, -76.29595)",36.5
